index,refHost
en.wikipedia.org,2995
www.census.gov,2617
books.google.com,1722
news.bbc.co.uk,1553
web.archive.org,1188
www.nytimes.com,1068
archive.is,931
www.imdb.com,804
www.aljazeera.net,801
www.minorplanetcenter.net,761
www.bbc.co.uk,757
www.guardian.co.uk,539
www.theplantlist.org,527
www.rottentomatoes.com,506
www.ncbi.nlm.nih.gov,497
www.youtube.com,497
www.billboard.com,495
www.boxofficemojo.com,428
www.britannica.com,426
www.telegraph.co.uk,416
www.theguardian.com,404
ww2.bgbm.org,379
www.togetherweteach.com,367
www.alarabiya.net,366
www.elcinema.com,358
www.ipni.org,352
library.islamweb.net,345
shamela.ws,344
www.metacritic.com,315
www.cia.gov,314
www.hollywoodreporter.com,312
www.wowworks.com,306
books.google.com.eg,300
www.uefa.com,295
www.bbc.com,291
www.youm7.com,279
whc.unesco.org,271
www.reuters.com,271
books.google.ca,270
www.washingtonpost.com,267
www.destatis.de,266
www.kuna.net.kw,266
www.alriyadh.com,265
recensamant.referinte.transindex.ro,253
www.atpworldtour.com,237
www.dailymail.co.uk,237
www.time.com,233
www.independent.co.uk,230
www.forbes.com,230
factfinder2.census.gov,229
arabic.rt.com,224
www.ahram.org.eg,222
www.arab-ency.com,218
www.who.int,216
variety.com,207
books.google.co.uk,200
www.kooora.com,193
www.fifa.com,190
www.people.com,184
www.biografiasyvidas.com,181
islamport.com,179
www.usatoday.com,175
www.goal.com,175
www.sis.gov.eg,173
www.rsssf.com,171
www.mtv.com,170
ar.fifa.com,170
www.bbfc.co.uk,166
www.un.org,162
www.fda.gov,161
archive.org,160
www.animenewsnetwork.com,159
www.huffingtonpost.com,155
www.cnn.com,155
www.state.gov,154
articles.latimes.com,152
www.cdc.gov,152
edition.cnn.com,152
ara.reuters.com,152
query.nytimes.com,151
cfa-www.harvard.edu,149
www.olympic.org,147
www.almasryalyoum.com,147
www.timesonline.co.uk,145
www.rollingstone.com,144
st-takla.org,143
gate.ahram.org.eg,142
www.ew.com,141
emedicine.medscape.com,139
www.aawsat.com,138
pubchem.ncbi.nlm.nih.gov,137
www.databaseolympics.com,136
timesofindia.indiatimes.com,133
www.nasa.gov,132
deadline.com,132
www.drugs.com,131
adsabs.harvard.edu,128
www.fcbarcelona.com,127
www.bloomberg.com,126
www.webcitation.org,126
zipcodezoo.com,125
www.sigmaaldrich.com,124
www.pbs.org,123
boxofficemojo.com,121
www.amazon.com,120
www.skynewsarabia.com,115
www.realmadrid.com,114
www.spiegel.de,114
www.france24.com,112
d-nb.info,112
www.hrw.org,111
twitter.com,110
arabic.cnn.com,109
www.nature.com,108
digital.ahram.org.eg,107
archive.aawsat.com,106
linkinghub.elsevier.com,106
wayback.archive.org,105
www.economist.com,103
www.variety.com,103
abcnews.go.com,101
www.nlm.nih.gov,101
www.google.com,101
online.wsj.com,100
ia802508.us.archive.org,100
www.cbsnews.com,99
www.elaph.com,99
apps.who.int,98
data.gbif.org,97
www.facebook.com,96
arabic.euronews.com,95
www.alqabas.com.kw,95
www.elwatannews.com,93
www.knesset.gov.il,90
www.goodreads.com,88
shiaonlinelibrary.com,87
www.jstor.org,87
www.npr.org,87
www.dw.de,86
www.flightglobal.com,85
www.filmreference.com,84
www.sonypictures.com,84
www.foxnews.com,84
www.sfgate.com,84
ldlp-dictionary.com,83
www.alfa.com,83
www.mbc.net,81
onlinelibrary.wiley.com,81
www.smh.com.au,80
www.cbc.ca,80
www.kora.com,79
www.chessgames.com,78
www.alwasatnews.com,78
www.latimes.com,78
www.msnbc.msn.com,77
www.alwatanvoice.com,77
www.islamonline.net,77
slam.canoe.ca,76
news.google.com,76
www.nydailynews.com,75
www.cervantesvirtual.com,75
www.bollywoodhungama.com,73
www.webmd.com,73
www.albayan.ae,73
www.businessweek.com,72
forum.sabayonlinux.org,72
www.deadline.com,72
www.sports-reference.com,71
www.haaretz.com,71
www.the-numbers.com,71
content.time.com,71
www.vatican.va,70
www.nsf.gov,70
www.sport.es,70
www.nobelprize.org,69
www.highbeam.com,69
www.allmusic.com,69
www.maghress.com,69
www.hindustantimes.com,68
www.monofeya.gov.eg,68
elpais.com,68
countrystudies.us,67
www.ciudadseva.com,67
www.alittihad.ae,67
www.ft.com,66
soccernet.espn.go.com,66
www.dw.com,65
www.enel.com,65
money.cnn.com,65
www.empireonline.com,64
docs.google.com,64
www.hitfix.com,64
www.ahewar.org,63
www.abc.net.au,63
www.almaany.com,63
hdr.undp.org,63
www.worldcat.org,63
movies.nytimes.com,62
www.digitalspy.co.uk,62
nobelprize.org,62
www.altibbi.com,61
www.jpost.com,61
www.biography.com,61
www.globalsecurity.org,61
islamstory.com,61
aviation-safety.net,61
www.rogerebert.com,61
www.sciencedirect.com,60
www.newadvent.org,60
allmovie.com,60
www.lecturalia.com,59
english.aljazeera.net,59
www.maannews.net,59
aawsat.com,58
www.boxofficeindia.com,58
www.rediff.com,58
www.albawabhnews.com,58
www.motogp.com,58
pwtorch.com,58
www.imf.org,58
www.united.com,58
www.ign.com,57
www.aljazeera.com,57
81.192.52.100,57
www12.statcan.gc.ca,56
www.vetogate.com,56
www.topuniversities.com,56
tvbythenumbers.zap2it.com,56
www.masrawy.com,56
uk.reuters.com,55
www.queenrania.jo,55
www.nndb.com,55
www.venezuelatuya.com,55
www.comingsoon.net,55
www.carthage.tn,55
www.aleqt.com,55
www.alghad.com,55
www.drugbank.ca,54
www.medicinenet.com,54
news.xinhuanet.com,54
www.findagrave.com,54
www.boston.com,54
www.buscabiografias.com,54
www.ultratop.be,54
www.zenit.org,54
www.tvguide.com,53
dx.doi.org,52
www.mayoclinic.org,52
findarticles.com,52
books.google.jo,52
www.banrepcultural.org,52
www.shemsfm.net,52
www.pref.aichi.jp,52
www.usaid.gov,52
www.beograd.rs,52
www.swissinfo.ch,52
www.moheet.com,52
pqasb.pqarchiver.com,51
news.yahoo.com,51
www.elmundo.es,50
www.accessdata.fda.gov,50
www.alquds.co.uk,49
alwafd.org,49
www.masress.com,49
www.addustour.com,49
www.annahar.com,49
latimesblogs.latimes.com,49
www.almasry-alyoum.com,48
books.google.com.sa,48
www.acmilan.com,48
filippo.io,48
ar.egypt.travel,48
epp.eurostat.ec.europa.eu,47
www.irinnews.org,47
meta.wkhealth.com,47
www.lanacion.com.ar,47
sports.espn.go.com,47
www3.interscience.wiley.com,46
www.ine.es,46
www.weforum.org,46
www.officialcharts.com,46
alhayat.com,46
www.theage.com.au,46
encyc.reefnet.gov.sy,46
www.hespress.com,45
www.civil.ge,45
blogs.indiewire.com,45
www.shorouknews.com,45
www1.youm7.com,45
penelope.uchicago.edu,45
