index,citeTld
com,230575
org,72822
es,36822
co.uk,18314
net,12169
com.ar,9394
edu,9112
gov,8429
fr,8310
de,7519
cl,4515
com.mx,4116
it,3713
gob.mx,2384
mx,2335
com.au,2306
ca,2260
gov.ph,2144
info,1984
eu,1924
org.uk,1725
ru,1725
nl,1671
cat,1570
org.mx,1529
blogspot.com,1502
com.uy,1441
com.br,1430
ac.uk,1382
is,1147
no,1108
pe,1089
se,1013
gov.ar,1008
edu.ar,992
ch,944
be,874
gouv.fr,850
gov.uk,773
pt,767
int,756
co.jp,687
com.co,680
cu,676
blogspot.com.es,668
gov.br,632
tv,632
dk,604
org.ar,593
va,577
gov.au,569
at,513
ie,506
cz,491
hu,474
us,462
co.nz,454
fi,452
com.pe,451
jp,441
or.kr,440
edu.co,438
ro,432
pl,392
gob.es,379
com.ec,378
gob.ar,367
co,322
gc.ca,313
br,308
gov.co,302
net.au,298
gub.uy,292
co.kr,271
co.za,258
gr,252
hn,252
ar,250
edu.au,246
blogspot.mx,231
blogspot.com.ar,229
ee,220
com.do,218
biz,214
com.ve,213
org.br,208
edu.pe,197
co.ve,195
go.jp,193
edu.sv,191
qc.ca,190
com.py,189
com.cn,189
or.jp,187
gob.pe,184
hr,183
bg,183
si,178
IPv6 URL,174
co.il,172
org.nz,169
edu.uy,167
in,154
com.ni,150
mil,142
gob.ve,138
sk,134
org.ve,127
me,123
gob.sv,122
org.uy,122
org.il,119
eus,114
uk,113
org.au,112
rs,106
edu.mx,105
ir,105
com.pa,105
govt.nz,98
ve,97
gov.il,95
ac.jp,94
gov.ua,93
fm,93
cr,92
ac.at,90
org.co,87
com.tr,86
ac.cr,84
cn,82
go.kr,80
ws,80
ac,80
cc,78
edu.ec,76
gob.ec,74
gv.at,73
am,72
lv,71
az,71
gov.py,70
io,69
com.bo,67
go.cr,65
kommune.no,65
ac.pa,64
go.th,63
edu.ve,59
gov.in,59
ac.il,57
ac.be,57
org.za,56
nu,54
gov.lv,54
gob.cl,53
com.my,53
gov.cn,52
org.cn,52
gov.tr,51
tx.us,51
co.in,50
lt,50
ec,50
com.ph,49
com.pk,49
gob.pa,48
ph,48
com.ua,48
org.pe,48
ae,47
com.gt,47
gov.pl,47
bo,47
nic.in,47
ne.jp,46
lg.jp,46
blogspot.co.uk,46
edu.tw,46
muni.il,46
ma,46
gov.hk,46
com.tw,45
on.ca,45
gob.ni,43
com.sv,43
asia,43
nhs.uk,43
lu,42
edu.cn,42
gov.za,41
ua,40
ac.za,40
tw,40
ad,39
asso.fr,39
travel,39
org.rs,39
gov.bt,38
com.cy,37
gov.ve,37
com.es,36
li,35
aero,34
edu.pl,34
gov.sg,34
org.ua,33
gov.rs,32
com.hk,30
uz,30
info.ve,29
by,29
net.nz,29
ac.kr,29
ac.in,29
tl,28
blogspot.ca,28
vic.gov.au,27
gob.bo,26
org.bo,26
mc,26
org.es,26
org.py,26
sa.cr,26
blogspot.pe,25
pro.br,25
mn.us,25
md,25
paris,24
blogspot.fr,22
ac.nz,22
blogspot.de,22
co.cr,22
aq,22
cv,22
cloudfront.net,22
blogspot.com.co,21
com.mt,21
qld.gov.au,21
org.eg,21
kiev.ua,20
info.ec,20
com.pl,20
blogspot.com.uy,20
net.mx,19
wa.gov.au,19
com.kp,19
org.do,19
org.sv,19
fi.it,19
al,19
ge,19
gob.gt,19
mu,19
fl.us,18
spb.ru,18
gov.tw,18
wa.us,18
me.uk,18
jus.br,18
vn,18
org.ni,18
gal,17
md.us,17
gov.my,17
com.mk,17
mil.co,17
uy,17
to,17
gov.mz,17
kg,17
dz,16
gov.sa,16
com.na,16
tk,16
gov.pk,16
com.lb,16
leg.br,15
warszawa.pl,15
mt,15
gov.ps,15
s3.amazonaws.com,15
edu.sg,15
gov.cl,15
edu.tr,15
museum,15
edu.hk,14
pr,14
edu.lb,14
name,14
kz,14
mil.ar,14
fo,14
vg,14
org.gt,14
la,14
ru.net,14
pa.us,14
bf,13
com.sg,13
fed.us,13
co.ke,13
org.pl,13
org.ph,13
gov.gr,12
kyoto.jp,12
hamamatsu.shizuoka.jp,12
org.tr,12
co.ug,12
gov.eg,12
gov.ec,12
co.mz,12
edu.hn,12
blogspot.cl,12
gov.cy,12
ab.ca,12
gov.bh,12
ny.us,11
kr,11
gov.it,11
edu.pk,11
com.al,11
va.us,11
com.vn,11
ms,11
gob.hn,11
gov.pt,10
co.th,10
or.id,10
coop,10
art.br,10
edu.ng,10
blogspot.com.au,10
gov.by,10
krakow.pl,10
hk,10
sg,10
mb.ca,10
org.hk,9
org.tw,9
torino.it,9
waw.pl,9
co.id,9
go.id,9
today,9
gt,9
lk,9
edu.my,9
mil.ve,9
bz,9
gov.bd,9
au,9
org.in,9
asn.au,9
org.ec,8
ci,8
milano.it,8
bc.ca,8
gov.al,8
ac.th,8
amazonaws.com,8
org.pt,8
presse.fr,8
net.co,8
msk.ru,8
blogspot.in,8
edu.br,8
lg.ua,8
tn,8
org.mk,8
roma.it,8
su,8
edu.cu,8
blogspot.it,8
ac.rs,7
uk.com,7
blogspot.ru,7
bw,7
or.cr,7
gov.jo,7
art.pl,7
edu.gt,7
ba,7
sa.gov.au,7
ac.id,7
edu.eg,7
org.pa,7
gov.gi,7
kp,7
gi,7
gov.bn,6
mi.it,6
firenze.it,6
tc,6
gr.jp,6
chiba.jp,6
com.tn,6
blogspot.nl,6
osaka.jp,6
ac.mz,6
gov.ae,6
gov.az,6
gov.ml,6
co.zm,6
gov.vn,6
gl,6
ak.us,6
gov.et,6
nc.us,6
tokyo.jp,6
pa,6
homeoffice.gov.uk,6
mobi,6
ok.us,6
eu.com,6
mn,6
machida.tokyo.jp,6
edu.ru,6
com.fr,6
k12.ca.us,6
com.sa,6
