index,citeTld
com,266264
fr,206599
org,67757
net,21363
co.uk,15114
gouv.fr,12290
cz,10827
ca,9773
be,9481
gov,9468
edu,9375
de,8939
ch,8246
it,5497
qc.ca,5156
info,5089
eu,4206
es,3542
nl,2813
int,2770
ro,2749
ru,2635
ac.uk,1940
org.uk,1912
co.jp,1811
tv,1562
fi,1469
com.au,1468
se,1458
blogspot.fr,1362
gc.ca,1201
pl,1185
blogspot.com,989
jp,929
asso.fr,853
hu,797
no,791
at,774
va,767
pt,733
ma,696
nc,680
gov.uk,638
gov.au,631
com.br,622
ac.jp,593
dk,504
ac.be,501
is,476
cat,470
ie,455
gov.np,439
co.nz,409
go.jp,400
net.au,373
ee,371
lu,365
com.ar,365
ac,341
edu.au,333
com.cn,327
co.za,326
presse.fr,323
or.jp,319
us,319
rs,310
gr,303
sk,288
cl,278
edu.pl,264
co.kr,255
mil,251
gov.br,246
lv,232
biz,230
IPv6 URL,218
com.mx,216
cn,215
bg,207
uk,203
am,198
com.tr,193
com.tn,186
ac.rs,178
dz,177
or.kr,173
tn,166
gov.ph,155
gov.ma,154
pf,154
hr,150
co.il,146
ac.at,143
co,143
org.au,140
mu,139
sn,139
me,135
ac.il,134
gov.za,133
in,127
lg.jp,127
gov.lv,126
gov.pl,123
br,122
gov.il,121
org.il,118
mc,118
re,108
by,104
govt.nz,99
gob.mx,96
com.mk,95
org.nz,92
org.za,92
eu.org,92
edu.cn,90
museum,89
az,89
com.hk,88
mx,85
fm,85
cc,85
cu,82
edu.tw,81
gov.co,77
org.cn,77
ne.jp,76
ae,73
org.br,72
gob.pe,72
ir,71
gov.mk,70
tm.fr,69
si,69
com.ua,67
com.pk,66
pe,66
com.uy,65
gov.cn,65
ac.nz,65
ge,65
lt,64
nu,63
krakow.pl,61
edu.co,60
org.mx,60
on.ca,59
io,59
gov.ar,58
org.pl,58
kz,58
co.ma,58
gov.hk,58
org.ar,57
org.eg,57
gov.ua,57
ac.za,56
com.co,56
gov.rs,55
ua,55
cci.fr,54
tx.us,53
to,52
ci,51
li,51
vic.gov.au,51
gov.tn,50
mk,50
aero,49
gov.in,49
com.pl,49
co.ke,49
eu.com,48
md,47
gv.at,45
com.tw,45
bc.ca,44
ac.ir,43
blogspot.be,43
co.in,40
bzh,39
gov.tw,39
gouv.sn,39
ac.in,39
blogspot.ca,38
kommune.no,38
fi.it,37
gr.jp,37
travel,37
ba,36
hn,36
gov.az,35
rnu.tn,35
com.my,35
hk,34
pro,34
asia,34
blogspot.co.uk,33
gl,33
gov.mo,33
nic.in,33
ws,33
eus,32
gov.tr,32
com.lb,32
coop,31
vn,30
cd,30
press.ma,29
nat.tn,29
com.fr,29
go.th,29
go.id,28
org.mk,28
gov.by,28
fed.us,28
gov.ml,28
mg,28
ac.ma,28
art.pl,28
org.hk,27
github.io,27
spb.ru,27
asso.nc,27
mb.ca,27
edu.ar,27
tokyo.jp,27
edu.tr,27
aeroport.fr,27
gov.sg,26
gob.es,26
com.pe,26
ac.kr,26
edu.lb,26
net.tr,25
ar,25
blogspot.com.es,25
org.ua,25
s3.amazonaws.com,25
kiev.ua,25
gov.eg,24
org.rs,24
ga,24
tk,24
gub.uy,24
edu.vn,23
ly,23
bf,23
gov.pk,22
cm,22
edu.ec,22
su,22
gov.ru,22
vu,22
com.ec,22
showa.gunma.jp,22
tuxfamily.org,21
paris,21
lk,21
org.in,21
tl,21
com.vn,20
quebec,20
com.do,20
gov.kh,20
co.th,19
edu.hk,19
rnrt.tn,19
com.mt,19
wa.gov.au,19
info.tn,19
org.ma,18
blogspot.cz,18
aq,18
vda.it,18
blogspot.de,18
blogspot.ch,18
org.gr,17
org.sg,17
md.us,17
im,17
dj,17
gov.et,17
firenze.it,16
sg,15
com.gt,15
ad,15
go.kr,15
fo,15
gob.ve,15
edu.pe,15
or.us,14
gov.fj,14
mn,14
nj.us,14
poznan.pl,14
com.ph,14
ny.us,13
bw,13
tw,13
edu.br,13
edu.mk,13
ne,13
edu.ua,13
org.tr,13
com.ve,13
qld.gov.au,13
cv,13
prd.fr,13
pa.us,13
je,13
nhs.uk,13
gov.ba,13
mn.us,13
takasago.hyogo.jp,12
alsace,12
