ab,1
ace,4
af,204
ak,1
als,100
am,2
an,48
ang,5
ar,701
arz,42
as,54
ast,126
av,9
ay,6
az,155
azb,30
ba,54
bar,73
bat-smg,3
bcl,18
be,207
be-tarask,126
bg,322
bh,37
bi,1
bjn,2
bn,265
bpy,1
br,57
bs,163
bxr,25
ca,830
cbk-zam,7
ce,55
ceb,4
chr,3
ckb,58
crh,1
cs,608
csb,1
cu,6
cv,25
cy,102
da,487
de,3722
diq,14
dsb,9
dv,12
el,511
eml,4
en,7428
eo,249
es,1988
et,195
eu,142
ext,8
fa,516
fi,1163
fiu-vro,2
fo,49
fr,3286
frp,2
frr,14
fur,1
fy,43
ga,43
gan,5
gd,42
gl,253
glk,2
gn,12
gom,1
gu,55
gv,14
hak,1
haw,2
hi,195
hif,12
hr,262
hsb,9
ht,5
hu,680
hy,390
ia,14
id,572
ig,3
ik,1
ilo,66
io,42
is,43
it,1545
ja,1195
jbo,1
jv,61
ka,181
kaa,2
kab,8
kbd,9
kk,121
km,34
kn,121
ko,464
koi,3
krc,13
ks,1
ksh,1
ku,17
kv,1
kw,2
ky,29
la,98
lad,13
lb,62
lez,21
lg,1
li,13
lmo,18
ln,2
lo,8
lrc,10
lt,177
ltg,4
lv,221
mai,37
map-bms,5
mg,18
mhr,3
mi,1
min,15
mk,217
ml,203
mn,84
mr,44
mrj,1
ms,224
mt,34
mwl,14
my,61
myv,6
mzn,28
na,1
nah,3
nap,7
nds,107
nds-nl,21
ne,67
new,18
nl,904
nn,116
no,768
nov,2
nso,1
nv,1
ny,6
oc,43
or,91
os,10
pa,123
pag,2
pam,23
pap,6
pcd,10
pdc,2
pfl,7
pih,2
pl,1303
pms,3
pnb,16
pnt,1
ps,10
pt,1551
qu,11
rm,23
rmy,1
ro,480
roa-rup,2
roa-tara,19
ru,1996
rue,7
rw,1
sa,12
sah,34
sc,2
scn,7
sco,238
sd,12
se,4
sg,1
sh,216
si,58
simple,613
sk,184
sl,203
sm,4
so,17
sq,132
sr,356
srn,1
ss,2
stq,6
su,24
sv,927
sw,31
szl,11
ta,227
te,141
tet,4
tg,18
th,303
tk,2
tl,73
tn,1
to,1
tpi,9
tr,682
tt,49
ty,1
tyv,5
udm,2
ug,6
uk,818
ur,98
uz,47
ve,1
vec,16
vep,26
vi,569
vls,3
vo,3
war,29
wo,1
wuu,9
xal,15
xh,7
xmf,27
yi,12
yo,57
zea,2
zh,1166
zh-classical,2
zh-min-nan,22
zh-yue,58
zu,9
