af,5
am,1
an,2
ar,97
arz,4
az,12
azb,3
ba,1
bar,1
be,5
be-tarask,4
bg,74
bh,1
bn,12
bs,7
ca,354
ckb,6
cs,97
cv,1
cy,1
da,5
de,252
diq,3
el,25
en,1368
eo,8
es,274
et,18
eu,6
fa,38
fi,138
fo,7
fr,593
fy,1
ga,9
gd,1
gl,11
gom,18
gu,2
hi,10
hr,17
hu,60
hy,20
id,31
io,1
is,1
it,79
ja,39
jv,9
ka,7
kk,2
kn,4
ko,22
ku,3
la,7
lb,16
li,1
lo,1
lt,18
lv,5
mai,8
mk,6
ml,34
mn,2
mr,2
mrj,1
ms,4
mt,1
my,1
mzn,1
nds,5
nds-nl,1
ne,56
nl,40
nn,4
no,54
oc,2
or,6
pa,10
pap,2
pl,54
pnb,1
pt,89
ro,23
ru,30
sah,1
sco,4
sd,2
sh,21
simple,37
sk,21
sl,8
sq,5
sr,3
sv,76
sw,1
szl,3
ta,17
te,4
tg,1
th,20
tl,1
tpi,2
tr,169
tt,6
tyv,1
uk,45
ur,5
uz,1
vec,2
vi,4
war,3
xmf,1
yi,2
zh,40
zh-min-nan,1
zu,1
