zh-min-nan,15017
en,2045
fr,1269
es,562
ca,503
de,352
tr,249
fi,207
pt,185
bg,151
cs,129
sv,124
it,123
hu,116
ar,115
ru,96
pl,90
uk,85
simple,76
no,72
zh,65
nl,55
hy,53
fa,53
ml,44
ko,41
hr,37
ne,37
et,34
lv,31
ja,31
lt,28
th,27
sk,25
el,22
ro,19
la,17
id,16
lb,16
az,15
ta,14
jv,13
bn,12
sh,11
bs,11
ga,11
sl,10
hi,8
kn,8
ka,7
ckb,6
af,6
gom,6
da,6
arz,6
gu,5
sr,5
ms,5
or,5
fo,5
gl,4
pa,4
tt,4
szl,3
nn,3
sq,3
ur,3
vec,3
be-tarask,3
pap,3
eu,3
vi,2
te,2
eo,2
sco,2
war,2
be,2
mn,2
kk,2
mk,2
nds,2
sw,2
tyv,1
tl,1
diq,1
bar,1
uz,1
azb,1
oc,1
is,1
mr,1
ku,1
bh,1
li,1
fy,1
