index,citeTld
com,4223139
org,1064935
co.uk,428226
de,417328
gov,350258
fr,308980
edu,254773
net,229534
ru,192841
it,163325
cz,86992
hu,84826
se,82940
es,77243
ca,74962
co.jp,73215
nl,72500
jp,70202
fi,68031
pl,51984
org.uk,49016
no,47897
com.br,46588
com.au,46161
ch,45870
ac.uk,45760
info,42796
eu,39064
ro,36910
be,34718
at,28458
dk,27851
gov.au,26161
cat,22976
int,21589
gov.uk,20467
pt,19026
gouv.fr,18930
blogspot.com,18080
ee,17686
tv,17622
is,17309
gr,17223
go.jp,16934
ie,16747
go.th,16705
gov.br,15603
com.ar,15227
hr,14004
com.cn,13013
co.kr,12837
ac.jp,11238
or.jp,10673
ir,10568
gov.ph,10478
us,10404
co.nz,10255
in,9581
bg,9283
net.au,9201
com.tr,9184
gc.ca,8912
va,8796
co.za,8791
edu.au,8682
ua,8575
cl,8355
com.mx,8128
qc.ca,7890
rs,7487
mu,7019
com.ua,6967
gob.mx,6604
br,6542
sk,6389
mil,6372
com.tw,6362
am,6346
lv,6087
cn,5958
nic.in,5942
by,5792
uk,5767
lt,5667
gov.ua,5568
ne.jp,5391
co.il,5383
si,5233
lg.jp,5223
ac.at,5150
org.au,4593
biz,4509
gov.in,4495
gov.il,4490
nj.us,4307
gov.pl,4165
mx,4139
edu.cn,3876
az,3808
govt.nz,3771
org.br,3735
gv.at,3722
edu.pl,3672
co.in,3633
ac.in,3519
or.kr,3511
edu.tw,3474
kz,3280
gov.cn,3275
com.pk,3243
com.my,3204
gov.tr,2895
org.nz,2890
org.il,2887
gov.hk,2852
org.mx,2734
vn,2702
org.ua,2695
me,2661
co.th,2622
edu.tr,2611
lu,2575
com.uy,2519
cc,2492
gov.lv,2398
org.pl,2351
co,2338
com.hk,2252
gov.ar,2159
ac.il,2159
go.kr,2131
cu,2120
org.za,2107
gov.tw,2106
nu,2095
gov.sg,2014
com.vn,1986
ae,1957
ge,1910
kiev.ua,1872
IPv6 URL,1842
fm,1822
md,1822
pe,1803
vic.gov.au,1799
ac.th,1792
ma,1721
nhs.uk,1699
blogspot.fr,1667
go.id,1657
tx.us,1643
io,1614
org.cn,1614
su,1580
ac.kr,1572
org.eg,1540
asia,1513
ws,1486
ac,1479
hk,1474
ac.za,1469
asso.fr,1465
gov.za,1442
edu.ar,1437
ac.nz,1404
com.pl,1384
com.ph,1381
eus,1358
gov.ru,1330
fo,1329
gov.eg,1325
gov.np,1323
org.ar,1321
kommune.no,1319
org.tw,1309
wmflabs.org,1296
ba,1290
lk,1278
blogspot.com.es,1238
com.co,1215
ac.ir,1215
on.ca,1199
spb.ru,1199
qld.gov.au,1188
blogspot.de,1182
blogspot.co.uk,1178
org.tr,1159
ac.be,1140
edu.hk,1113
msk.ru,1072
gov.by,1070
mn.us,1055
ph,1025
edu.sg,1003
edu.ph,977
wa.gov.au,954
gov.co,946
gov.my,944
gr.jp,907
co.id,904
com.mk,890
tw,879
pa.us,859
in.ua,852
edu.co,849
org.hk,842
sa.gov.au,841
com.pe,840
blogspot.it,810
poznan.pl,807
org.ir,779
com.mt,778
edu.br,777
tokyo.jp,773
uz,771
org.in,760
bc.ca,756
gub.uy,752
ac.rs,748
gob.pe,747
mc,741
gob.es,739
hn,736
com.cy,734
com.ec,730
nc,725
pro.br,721
gov.it,718
aero,706
mt,700
org.rs,669
gob.ar,656
edu.pk,654
kr,639
li,635
sg,618
or.th,613
ny.us,612
museum,611
s3.amazonaws.com,608
travel,608
gov.rs,605
gov.pk,600
net.ua,599
edu.sa,582
co.ke,574
mk,574
gov.vn,570
art.pl,548
edu.ua,540
krakow.pl,537
or.us,534
edu.my,533
mn,530
to,527
fi.it,523
ar,521
org.np,520
com.ve,519
com.lb,516
blogspot.in,504
co.ug,504
ac.id,502
name,502
com.do,493
gov.sa,490
com.sg,481
blogspot.ca,478
k12.nj.us,477
ca.us,470
ag,470
presse.fr,470
edu.ru,468
gl,467
ad,461
al,447
lviv.ua,436
mb.ca,429
gov.bd,428
tn,421
dz,417
com.ni,416
edu.vn,412
edu.in,407
com.na,400
me.uk,399
gob.ve,396
com.eg,394
com.py,393
tk,392
rzeszow.pl,389
gov.ps,389
net.nz,385
edu.pe,382
je,381
today,376
gov.al,375
edu.uy,373
ed.jp,372
org.ph,370
oh.us,370
kg,370
fl.us,368
wroc.pl,365
tj,360
fed.us,354
milano.it,354
gov.mo,351
ps,348
gov.kh,348
net.kw,345
res.in,342
gov.mk,342
gov.ge,338
com.sa,336
jo,325
рф,324
blogspot.com.ar,322
zp.ua,319
blogspot.ru,315
edu.lb,313
blogspot.com.au,313
blogspot.mx,313
sm,312
blogspot.jp,312
com.bd,310
coop,309
cv,301
va.us,298
il.us,296
ab.ca,294
bw,292
com.tn,292
warszawa.pl,289
my,286
tn.us,285
ma.us,284
jus.br,284
edu.jo,283
gov.lk,278
gov.lt,276
cloudfront.net,275
gov.az,274
ac.cn,274
tas.gov.au,273
ng,271
org.sg,271
or.id,270
org.uy,268
org.mk,265
muni.il,265
co.ve,263
edu.eg,262
edu.sv,262
im,261
github.io,261
md.us,260
co.mz,260
blogspot.nl,259
waw.pl,259
org.ve,255
gov.py,253
gob.ec,251
ve,249
edu.mx,248
city.sapporo.jp,247
sn,244
gal,243
gov.jo,242
police.uk,242
gov.ma,240
org.vn,240
co.rs,238
mobi,237
au,235
uk.com,234
nc.us,234
mil.ru,233
gob.sv,230
pf,229
aichi.jp,227
gov.lb,226
scot,225
ok.us,224
wales,224
pro,222
blogspot.fi,222
opole.pl,220
ak.us,219
bel.tr,219
com.kw,218
com.ng,214
amazonaws.com,213
sy,211
gov.cy,211
gov.et,210
gov.sy,209
gob.ni,208
ru.net,208
blogspot.se,207
go.tz,206
st,206
gov.pt,205
com.pa,205
blogspot.pt,205
tl,205
mi.it,204
kharkov.ua,203
pk,202
ac.bd,201
gov.gr,200
roma.it,199
blogspot.gr,198
edu.ec,197
edu.ng,197
gob.bo,195
co.ao,195
hiroshima.jp,195
ms,194
org.co,194
mg,194
k12.ca.us,193
org.my,192
kyoto.jp,191
edu.kh,189
eu.com,188
gen.tr,185
ac.cr,182
wy.us,181
go.cr,180
ao,178
al.us,177
org.mt,176
gov.ve,175
asn.au,174
pr,174
gov.ae,173
blogspot.hu,173
ns.ca,172
homeoffice.gov.uk,171
torino.it,171
ac.ru,171
gm,170
pn,170
yk.ca,170
com.gh,169
ec,168
gob.pa,168
blogspot.no,168
ax,168
net.pl,166
gov.kz,166
leg.br,165
cr,164
firenze.it,163
aq,163
re,162
paris,161
edu.az,161
osaka.jp,161
gov.ir,159
gda.pl,159
gov.mu,158
com.gt,158
ac.lk,157
dp.ua,156
co.zw,155
sk.ca,154
tm.fr,154
gdansk.pl,153
if.ua,153
eu.org,152
lib.ks.us,152
hachioji.tokyo.jp,152
com.bo,151
gov.mz,150
com.bn,149
org.lb,149
ci,148
blogspot.be,148
venezia.it,148
shizuoka.jp,147
city.nagoya.jp,146
edu.mk,145
in.th,144
wi.us,144
bz.it,143
or.at,142
la.us,142
gov.tt,142
edu.sd,142
gov.gy,141
gov.ie,140
eu.int,140
ac.ae,139
k12.in.us,139
co.tz,139
edu.al,138
ia.us,137
pe.ca,137
blogspot.com.br,136
gov.bh,136
bf,136
gov.tm,135
vt.us,135
tv.it,135
club,134
k12.va.us,134
gov.tl,132
la,132
gov.ml,131
news,131
bz,130
org.pk,129
com.al,128
gov.ec,128
wroclaw.pl,127
vu,126
com.pg,126
com.hr,126
id.us,126
saitama.jp,125
gov.gh,125
net.cn,124
co.tt,124
com.ru,124
dj,123
re.kr,122
gov.af,122
gov.qa,122
wa.us,121
nara.jp,120
gov.tn,120
city.sendai.jp,119
sardegna.it,118
kagoshima.jp,118
co.us,118
nu.ca,117
go.ug,117
info.hu,116
mz,116
org.pe,116
org.cy,116
appspot.com,116
gob.gt,115
cd,115
abruzzo.it,114
gov.jm,114
mi.us,113
ac.ke,113
lib.mn.us,113
toscana.it,113
gov.mv,113
edu.ve,112
media,112
ms.us,112
miyagi.jp,112
blogspot.ch,111
sicilia.it,111
gov.fj,110
inf.br,109
edu.gh,109
edu.ee,109
gi,108
blogspot.cz,108
ac.ug,108
tr,108
k12.ga.us,107
gov.sd,107
org.gr,107
com.fr,106
lg.ua,106
katowice.pl,105
om,105
nat.tn,105
co.im,104
blogspot.co.at,104
gov.gi,104
napoli.it,104
ac.cy,103
ra.it,103
gov.kw,102
gov.bt,102
tn.it,102
org.bd,102
ug,102
gov.ba,101
cx,100
jpn.com,100
cm,100
dyndns.org,99
net.tr,99
ly,99
gov.to,98
com.mo,98
հայ,98
idf.il,98
co.ma,97
art.br,97
rnu.tn,97
gouv.sn,97
od.ua,97
nf.ca,96
com.es,95
edu.iq,95
ga.us,95
gob.cl,95
tt,95
qa,94
edu.qa,94
bologna.it,94
gov.bo,93
edu.mt,93
crimea.ua,93
lib.in.us,91
kanagawa.jp,91
nm.us,89
gdynia.pl,89
bo,89
cr.it,89
wv.us,88
gov.lr,88
net.vn,88
com.np,88
or.ke,88
lombardia.it,88
gov.bs,87
org.sa,86
gov.bn,86
com.pt,86
iwate.jp,85
iq,85
veneto.it,85
museum.no,85
info.ve,84
bi,83
edu.rs,83
gov.om,83
edu.gr,83
vda.it,82
blogspot.ro,82
co.bw,82
edu.ni,82
press,81
net.br,81
sc,81
trieste.it,80
gov.ly,80
szczecin.pl,79
okayama.jp,79
cv.ua,79
com.sv,79
genova.it,79
net.tw,79
mb.it,78
info.pl,78
cymru,78
co.at,78
kumamoto.kumamoto.jp,77
cci.fr,77
gov.zm,77
nsw.edu.au,77
googlecode.com,77
bh,77
gov.ki,76
ba.it,75
ac.fj,75
bt.it,75
press.ma,75
ac.pa,75
edu.af,75
go.ke,74
taa.it,74
k12.tx.us,74
one,74
te.ua,74
na,74
k12.oh.us,74
hamamatsu.shizuoka.jp,73
city.yokohama.jp,73
mil.co,73
fe.it,72
nv.us,71
edu.bd,71
ga,71
tc,71
piemonte.it,70
org.py,70
ibaraki.jp,70
edu.np,70
tuxfamily.org,70
ne,69
nt.ca,69
sh.cn,68
marche.it,68
xyz,68
id,67
film,67
fc.it,67
co.zm,67
co.cr,67
gov.iq,66
bzh,66
blogspot.com.tr,65
ac.ma,65
sd.us,65
vic.edu.au,65
com.fj,64
aeroport.fr,64
wa.edu.au,64
info.ec,64
film.hu,64
brescia.it,63
ls,63
bm,63
org.qa,63
net.cy,63
beppu.oita.jp,62
edu.om,62
to.it,62
k12.ms.us,60
com.mv,60
ri.us,60
k12.or.us,60
co.me,60
vg,60
palermo.it,60
org.af,59
dn.ua,59
gob.hn,59
malopolska.pl,58
org.jo,58
tur.br,58
web.id,58
co.it,58
blogspot.dk,58
k12.mn.us,58
mil.br,58
kumamoto.jp,58
nh.us,58
org.na,58
lib.tx.us,57
blogspot.tw,57
bo.it,57
nrw,57
googleapis.com,57
sl,57
sz,56
mk.ua,56
com.kp,56
as,56
sh,55
med.br,55
edu.sy,55
com.cu,55
com.qa,55
gov.mm,54
blogspot.hk,54
tomakomai.hokkaido.jp,54
fvg.it,54
blogspot.kr,54
org.es,53
ac.tz,53
k12.wi.us,53
gov.do,53
sr,53
re.it,53
org.ni,52
date.hokkaido.jp,52
nl.ca,52
edu.ps,52
tokyo,52
edu.mo,52
aw,52
bt,52
jor.br,52
co.rw,51
yolasite.com,51
wiki,51
puglia.it,51
gd,50
org.do,50
info.tn,50
edu.ly,50
odessa.ua,50
az.us,50
gov.ck,50
ac.pg,50
gov.cu,50
org.sz,49
k12.tr,49
edu.ge,49
com.ge,49
org.fj,48
shinjuku.tokyo.jp,48
parliament.nz,48
org.hu,48
bergamo.it,48
hi.us,47
edu.mn,47
org.ae,47
org.pa,47
art.museum,47
online,47
mt.us,47
edu.et,47
bialystok.pl,47
gob.do,47
emilia-romagna.it,46
folkebibl.no,46
lecco.it,46
fukuoka.jp,46
gov.bf,46
kuwana.mie.jp,46
mil.pl,46
k12.ny.us,46
in.us,45
pescara.it,45
net.co,45
org.ge,45
uk.net,45
agulha.nom.br,45
org.pt,45
edu.kw,45
asahikawa.hokkaido.jp,44
k12.ia.us,44
ad.jp,44
gov.dm,44
zone,44
sumy.ua,44
