index,citeTld
com,117378
org,20582
co.uk,12546
edu,7119
com.cn,6838
gov,6426
net,5840
com.tw,5045
hu,4186
co.jp,3662
jp,3446
de,2827
cn,2722
ca,1906
fr,1824
edu.tw,1713
edu.cn,1712
ac.uk,1536
gov.cn,1397
com.au,1200
com.hk,1130
gov.tw,944
ru,838
cc,820
org.tw,756
org.uk,741
it,712
lg.jp,667
int,652
gov.hk,646
hk,636
gov.uk,613
or.jp,597
info,594
nl,545
se,544
go.jp,481
gov.au,480
edu.hk,466
ac.jp,465
eu,445
ch,428
mu,427
org.hk,372
tw,348
tv,343
com.my,332
edu.au,329
es,316
ie,305
co.kr,295
is,291
blogspot.com,275
gc.ca,272
org.cn,267
fi,265
dk,259
ne.jp,249
no,227
us,223
cz,222
be,208
go.kr,202
at,200
co.nz,200
net.au,192
ac.cn,189
uk,179
biz,165
com.br,159
mil,143
gr,141
va,140
me,133
pl,133
co.za,132
com.tr,119
in,118
ro,114
sk,111
pt,107
gouv.fr,106
mg,102
gov.sg,94
mn.us,93
com.pk,89
lv,88
gov.br,86
asia,85
org.au,81
gov.ph,80
ir,75
or.kr,73
net.cn,72
com.mx,64
ee,63
bg,61
com.ar,60
am,59
ac.il,59
hr,59
org.il,58
gov.il,57
shizuoka.jp,55
co,51
com.sg,51
io,51
ac.kr,50
co.il,50
rs,50
edu.sg,49
vic.gov.au,48
gov.eg,48
bc.ca,47
gov.in,46
vn,46
blogspot.tw,45
nic.in,45
kyoto.jp,44
nhs.uk,43
IPv6 URL,41
on.ca,40
kumamoto.kumamoto.jp,39
gov.ar,39
gov.mo,37
br,37
si,36
qld.gov.au,36
saitama.jp,36
gov.my,36
govt.nz,36
cl,35
sg,34
gr.jp,34
tokyo.jp,34
hachioji.tokyo.jp,34
sh.cn,33
blogspot.hk,32
edu.sa,32
kr,32
qc.ca,31
co.in,31
ac.at,30
gob.mx,30
com.mk,30
az,29
city.sapporo.jp,29
edu.mo,28
com.ua,28
org.eg,27
fm,27
by,27
net.tw,27
lt,27
cat,26
idv.tw,25
city.kitakyushu.jp,25
nj.us,24
gov.ua,23
go.th,23
com.ph,23
spb.ru,22
edu.tr,22
org.nz,22
ed.jp,22
co.id,21
ae,21
ny.us,20
gov.tr,20
jpn.com,20
ge,20
matsue.shimane.jp,20
ws,20
edu.my,20
gob.pe,20
ac.th,19
aero,19
edu.pl,19
kiev.ua,19
lk,19
my,19
beppu.oita.jp,18
gov.et,18
lu,18
org.za,18
ua,18
gov.sl,18
blogspot.co.uk,18
gov.ps,18
tk,17
gov.za,17
lib.ks.us,16
taipei,16
ac.in,16
ac.za,16
uz,16
com.ve,16
ac.id,15
gov.pl,15
aq,15
ac.be,15
gov.lv,15
gv.at,14
to,14
gov.vn,14
org.ua,14
city.sendai.jp,14
go.id,14
sunagawa.hokkaido.jp,14
sm,14
com.mt,14
ar,14
fukuoka.jp,14
mx,14
org.tr,13
ph,13
tx.us,13
ca.us,13
sy,13
mn,13
rep.kp,13
im,13
hamamatsu.shizuoka.jp,12
org.sg,12
izumo.shimane.jp,12
abashiri.hokkaido.jp,12
gov.pk,12
ac.nz,12
org.br,12
cu,12
nobeoka.miyazaki.jp,12
gov.mu,12
s3.amazonaws.com,12
com.vn,12
com.lb,12
va.us,11
wa.gov.au,11
li,11
gov.by,11
kz,11
co.th,11
nu,11
gov.lr,11
gov.sa,11
hiroshima.jp,11
ok.us,11
ag,10
nc.us,10
edu.mn,10
fussa.tokyo.jp,10
mk,10
mb.ca,10
com.gt,10
police.uk,10
org.vn,10
fukuyama.hiroshima.jp,9
org.ar,9
chat,9
ba,9
asn.au,9
today,9
org.mx,9
torino.it,9
nara.jp,9
gub.uy,8
edu.ar,8
leg.br,8
ma,8
gov.it,8
au,8
yachiyo.chiba.jp,8
kami.kochi.jp,8
eu.int,8
gov.ve,8
kumamoto.jp,8
tomakomai.hokkaido.jp,8
com.np,8
zentsuji.kagawa.jp,8
edu.mk,8
org.mk,8
nogata.fukuoka.jp,8
kurume.fukuoka.jp,8
mizuho.tokyo.jp,8
amazonaws.com,8
shikaoi.hokkaido.jp,8
org.ir,7
city.yokohama.jp,7
kanagawa.jp,7
co.ke,7
pk,7
ps,7
blogspot.de,7
sa.gov.au,7
md,7
ac.ir,7
co.tt,7
org.mo,7
github.io,7
org.ph,7
gov.mk,7
chiba.jp,7
milano.it,7
org.my,7
msk.ru,6
okoppe.hokkaido.jp,6
furano.hokkaido.jp,6
chitose.hokkaido.jp,6
kounosu.saitama.jp,6
blogspot.com.au,6
or.th,6
naie.hokkaido.jp,6
wake.okayama.jp,6
fo,6
museum,6
lib.va.us,6
sc,6
moe,6
com.mo,6
gov.lb,6
gov.co,6
ab.ca,6
nl.ca,6
blogspot.jp,6
yusui.kagoshima.jp,6
ak.us,6
il.us,6
com.uy,6
edu.co,6
suginami.tokyo.jp,6
wassamu.hokkaido.jp,6
nishinoomote.kagoshima.jp,6
tamano.okayama.jp,6
utashinai.hokkaido.jp,6
hokkaido.jp,6
nagahama.shiga.jp,6
toyonaka.osaka.jp,6
com.co,6
bw,6
lib.tx.us,6
nf.ca,5
mobi,5
or.us,5
js.cn,5
wakkanai.hokkaido.jp,5
eu.com,5
k12.pa.us,5
lviv.ua,5
okayama.jp,5
uk.com,5
gob.ec,5
re.kr,5
soka.saitama.jp,5
net.my,5
ac.rs,5
sk.ca,5
com.ec,5
travel,5
hn,5
press,5
fed.us,5
nishihara.kumamoto.jp,5
googlecode.com,5
wmflabs.org,5
al.us,5
su,5
news,5
amakusa.kumamoto.jp,5
kikonai.hokkaido.jp,4
takanabe.miyazaki.jp,4
rankoshi.hokkaido.jp,4
kyowa.hokkaido.jp,4
best,4
edu.bo,4
net.ph,4
mi.us,4
org.lb,4
fuchu.hiroshima.jp,4
isen.kagoshima.jp,4
blogspot.nl,4
go.ug,4
shiraoi.hokkaido.jp,4
uryu.hokkaido.jp,4
co.im,4
re,4
co.zw,4
tas.gov.au,4
hatsukaichi.hiroshima.jp,4
aya.miyazaki.jp,4
hasami.nagasaki.jp,4
hakodate.hokkaido.jp,4
gov.qa,4
ns.ca,4
hiroo.hokkaido.jp,4
art.pl,4
miyakonojo.miyazaki.jp,4
gov.jo,4
amagasaki.hyogo.jp,4
org.ve,4
sn,4
fi.it,4
yamato.kumamoto.jp,4
res.in,4
kikuchi.kumamoto.jp,4
shibuya.tokyo.jp,4
bifuka.hokkaido.jp,4
kiyosato.hokkaido.jp,4
miyazaki.miyazaki.jp,4
homeoffice.gov.uk,4
kagoshima.jp,4
lib.mn.us,4
mt.us,4
ao,4
tomari.hokkaido.jp,4
tm.fr,4
osaka.jp,4
com.kp,4
sarufutsu.hokkaido.jp,4
go.tz,4
hisayama.fukuoka.jp,4
gov.gi,4
asago.hyogo.jp,4
aomori.aomori.jp,4
saroma.hokkaido.jp,4
genkai.saga.jp,4
ishikari.hokkaido.jp,4
edu.pe,4
org.gt,4
pe,4
shinonsen.hyogo.jp,4
kasaoka.okayama.jp,4
chikugo.fukuoka.jp,4
fukusaki.hyogo.jp,4
com.ru,4
fukagawa.hokkaido.jp,4
k12.in.us,4
k12.ca.us,4
bizen.okayama.jp,4
gov.ge,4
ota.tokyo.jp,4
jo,4
com.tn,4
okinawa.jp,4
appspot.com,4
arakawa.tokyo.jp,4
hiji.oita.jp,4
name,4
wa.us,4
vicenza.it,4
nishiokoppe.hokkaido.jp,4
co.ug,4
date.hokkaido.jp,4
kawanishi.hyogo.jp,4
yakumo.hokkaido.jp,4
gov.ru,4
gov.rs,4
edu.ru,4
iwamizawa.hokkaido.jp,4
tara.saga.jp,4
shiogama.miyagi.jp,4
edu.vn,4
idv.hk,4
gov.gh,4
tj.cn,4
voyage,4
withgoogle.com,4
oita.oita.jp,4
in.th,4
kunneppu.hokkaido.jp,4
mt,4
jus.br,4
gob.bo,4
eniwa.hokkaido.jp,4
net.nz,4
org.qa,4
sc.us,3
uki.kumamoto.jp,3
co.tz,3
