index,citeTld
com,1499851
org,317389
co.uk,152628
edu,111364
gov,81250
net,56693
de,35596
ca,31298
org.uk,25508
fr,23269
com.au,21879
ac.uk,21681
it,15708
gov.au,14499
nl,14227
co.jp,11141
ru,10998
info,9414
no,9344
se,8687
ie,8187
gov.uk,7916
eu,6847
blogspot.com,6646
es,6474
ch,6315
ro,6066
dk,5988
jp,5474
in,5369
co.nz,4833
edu.au,4817
fi,4748
be,4677
net.au,4444
cz,4032
nj.us,3977
hu,3894
tv,3828
co.za,3755
com.br,3657
pl,3637
int,3518
gov.ph,3323
us,3319
gc.ca,3121
mil,2985
go.th,2938
at,2902
nic.in,2785
org.au,2752
gr,2649
co.kr,2612
uk,2519
govt.nz,2346
gov.br,2345
ac.in,2286
pt,2255
com.cn,1989
co.in,1886
com.ar,1851
go.jp,1798
gouv.fr,1733
gov.il,1728
hr,1716
com.pk,1695
co.il,1667
ee,1653
gov.in,1630
gob.mx,1445
com.mx,1440
ac.jp,1432
si,1368
biz,1329
is,1304
or.kr,1257
or.jp,1237
va,1229
cn,1225
qc.ca,1183
com.tr,1152
org.nz,1143
edu.cn,1131
tx.us,1123
rs,1107
cl,1090
vic.gov.au,1085
nhs.uk,1059
org.il,1028
com.my,1015
ir,1004
edu.tw,938
bg,933
cat,930
am,922
br,852
com.ph,851
me,828
edu.ph,824
mx,821
ac.at,782
gv.at,778
sk,777
blogspot.co.uk,773
ne.jp,769
ac.nz,767
co,766
lk,758
ac.il,729
ph,725
asia,724
qld.gov.au,712
on.ca,694
lt,689
org.za,689
ae,684
gov.sg,651
sa.gov.au,641
IPv6 URL,623
gov.hk,619
edu.sg,592
ac.za,576
mu,565
com.ua,557
wa.gov.au,556
fm,553
lv,543
edu.tr,542
gov.cn,528
edu.pk,522
org.br,518
mt,466
com.hk,461
ua,460
ac.kr,459
com.tw,459
pa.us,455
bc.ca,442
org.cn,438
ac.th,427
go.kr,418
k12.nj.us,408
kommune.no,404
kz,399
cc,397
gov.za,395
com.mt,393
edu.hk,387
hk,384
io,376
edu.pl,373
lg.jp,370
az,364
org.eg,357
lu,355
or.us,347
ge,342
mn.us,338
gov.tr,335
ac.ir,329
co.th,329
gov.ua,326
ba,326
edu.in,325
nu,321
blogspot.ca,318
by,316
s3.amazonaws.com,312
ny.us,309
org.mx,307
org.in,306
ws,300
gov.pl,296
edu.my,293
ca.us,285
co.ke,281
gov.pk,268
blogspot.in,261
org.pl,259
gov.my,258
oh.us,257
sg,249
gov.tw,248
com.uy,245
com.sg,242
co.ug,238
cu,237
go.id,235
tw,235
org.ar,226
org.hk,222
fo,220
aero,215
md,211
gov.ar,209
me.uk,209
ma,205
blogspot.com.au,204
org.ph,201
org.ua,198
ng,198
org.tr,197
fl.us,196
coop,195
ab.ca,192
edu.co,191
mb.ca,190
org.tw,185
res.in,182
hn,182
gov.co,180
edu.lb,177
pe,176
ma.us,175
ac.be,173
vn,173
al,172
com.lb,170
co.id,165
com.do,165
asso.fr,162
wales,162
kiev.ua,161
blogspot.de,161
com.gh,157
ac,156
va.us,155
gov.bd,153
edu.ng,153
edu.jo,152
su,151
com.ng,149
il.us,149
org.mt,147
com.cy,146
to,145
police.uk,144
ac.bd,144
wy.us,142
com.co,139
mc,138
my,138
tokyo.jp,136
uk.com,135
blogspot.fr,134
md.us,132
gov.np,132
edu.ar,131
edu.sa,131
name,130
ac.id,129
ac.lk,129
net.nz,128
museum,127
edu.kh,127
tas.gov.au,126
edu.br,125
fed.us,125
tk,123
scot,123
gov.eg,122
or.th,121
com.pe,120
com.pl,120
com.ec,119
com.mk,118
pro.br,115
mk,114
ms,111
gov.by,108
tn.us,107
com.vn,107
spb.ru,105
go.tz,104
nc.us,104
gov.lk,103
pk,102
ac.rs,102
asn.au,101
org.sg,101
je,100
mn,100
k12.ca.us,100
travel,100
com.ni,99
ed.jp,99
gov.kh,99
wi.us,97
edu.vn,97
gov.rs,95
kr,94
k12.ga.us,93
edu.ua,92
cloudfront.net,92
au,92
ns.ca,91
github.io,90
lib.ks.us,89
k12.in.us,89
gub.uy,89
amazonaws.com,88
bw,88
art.pl,88
gl,87
com.na,87
al.us,87
pr,87
org.rs,86
gov.lv,83
fi.it,82
edu.gh,81
co.us,81
gr.jp,80
blogspot.com.es,80
ac.ke,80
msk.ru,78
ac.ae,78
com.ve,78
gov.sa,78
gov.al,77
com.sa,77
sk.ca,77
la.us,77
im,77
ms.us,76
org.np,75
poznan.pl,74
gov.ru,74
jo,74
homeoffice.gov.uk,74
edu.qa,73
k12.tx.us,73
gob.ar,72
org.pk,72
ak.us,72
co.zw,71
com.bd,70
hiroshima.jp,70
gob.ec,70
ia.us,69
edu.al,69
wv.us,68
gov.gh,68
yk.ca,67
opole.pl,67
mi.us,67
ok.us,65
edu.pe,65
org.my,65
blogspot.nl,64
vt.us,63
co.tz,63
nm.us,63
org.ir,63
lib.in.us,63
gob.es,62
com.py,62
uz,61
gov.ie,61
cv,60
li,60
dj,60
pe.ca,59
eus,59
ug,59
wa.us,59
com.bn,58
st,57
krakow.pl,56
edu.mx,56
gob.ve,56
edu.mt,55
co.tt,55
ar,55
gov.ps,54
gob.pe,54
gov.ge,53
edu.ni,52
gov.it,52
vic.edu.au,52
gov.vn,51
city.sapporo.jp,51
or.id,51
edu.ec,51
ga.us,50
tn,50
news,50
edu.bd,50
mobi,49
bm,48
go.ug,48
ac.cy,48
id.us,48
presse.fr,48
la,47
ag,47
gov.mk,47
ac.ru,47
gov.tt,47
org.ve,46
blogspot.it,46
com.np,46
gov.jm,46
edu.eg,45
dz,45
co.im,44
k12.oh.us,44
edu.np,44
nsw.edu.au,44
wa.edu.au,43
nv.us,43
edu.sv,43
blogspot.se,43
gm,43
edu.uy,43
kg,42
blogspot.mx,42
edu.ru,42
ac.ug,42
nf.ca,42
k12.va.us,42
tj,42
gov.jo,42
appspot.com,41
sm,41
co.ao,41
org.bd,40
co.mz,40
net.kw,40
gov.lt,40
edu.iq,40
gov.ae,39
cr,39
k12.or.us,39
sy,39
qa,38
blogspot.jp,38
gov.fj,38
gi,38
gov.et,37
sd.us,37
blogspot.no,37
go.ke,37
gov.cy,37
com.al,37
k12.wi.us,36
co.rs,36
eu.com,36
com.pg,36
edu.krd,36
org.lb,36
media,36
com.bo,35
co.rw,35
blogspot.com.br,35
gov.bs,35
org.qa,34
cx,34
com.pa,34
blogspot.sg,34
milano.it,34
gov.zm,33
k12.la.us,33
ac.tz,33
ve,32
ga,32
tt,32
or.ke,32
ne.us,32
k12.ia.us,32
k12.mn.us,32
yolasite.com,32
ac.cn,32
k12.mo.us,32
uk.net,31
gov.lb,31
com.tn,31
in.us,31
muni.il,31
art.museum,30
gov.bh,30
sn,30
warszawa.pl,30
parliament.nz,30
ps,30
k12.ms.us,29
gov.ml,29
ly,29
waw.pl,29
ac.cr,29
nh.us,29
edu.om,29
lib.tx.us,29
bh,28
ra.it,28
tm.fr,28
pn,28
edu.ge,28
org.mk,28
com.fj,27
blogspot.co.nz,27
nl.ca,27
lib.mi.us,27
mil.za,27
k12.ny.us,27
com.gt,27
gov.ir,27
nu.ca,27
org.jm,26
gov.py,26
dp.ua,26
bz.it,26
edu.ly,26
ut.us,26
mt.us,26
gov.gr,26
org.co,26
aq,26
nt.ca,25
ad,25
