index,citeTld
com,147972
org,46730
es,23491
co.uk,11823
net,7873
com.ar,5940
edu,5817
gov,5396
fr,5225
de,4739
cl,3007
com.mx,2665
it,2441
gob.mx,1594
mx,1536
com.au,1458
ca,1456
gov.ph,1351
eu,1273
info,1253
ru,1123
org.uk,1118
nl,1034
cat,1030
org.mx,976
blogspot.com,971
ac.uk,912
com.uy,907
com.br,906
is,725
no,701
pe,694
gov.ar,655
se,625
edu.ar,625
ch,590
be,554
gov.uk,543
gouv.fr,535
int,476
pt,461
cu,442
co.jp,431
blogspot.com.es,427
com.co,416
dk,415
gov.br,405
tv,393
org.ar,386
va,361
gov.au,359
at,325
or.kr,306
cz,306
ie,302
fi,297
hu,297
us,293
com.pe,291
co.nz,288
ro,288
jp,286
edu.co,283
gob.es,253
gob.ar,245
pl,243
com.ec,239
gc.ca,212
br,210
net.au,195
co,192
edu.sv,183
hn,181
gov.co,179
co.kr,171
gub.uy,171
ar,163
co.za,158
com.do,151
gr,151
edu.au,147
blogspot.mx,145
org.br,144
blogspot.com.ar,142
si,141
biz,139
com.ve,139
ee,139
hr,133
go.jp,129
com.py,126
com.cn,125
qc.ca,120
co.ve,116
or.jp,116
edu.pe,115
co.il,114
gob.sv,112
bg,107
gob.pe,106
org.nz,104
IPv6 URL,103
edu.uy,101
in,100
com.ni,96
mil,96
gob.ve,95
org.ve,84
rs,76
org.uy,75
uk,74
sk,74
org.au,73
me,72
org.il,72
eus,72
ac.cr,71
edu.mx,69
gov.il,67
ir,65
cc,63
ve,63
fm,62
com.pa,59
ac.jp,58
gov.py,57
govt.nz,55
com.tr,55
ac.at,55
cn,54
gov.ua,53
ws,53
cr,52
ac,51
org.co,50
gob.ec,48
lv,45
edu.ec,44
ac.il,43
am,43
gv.at,43
ac.pa,43
kommune.no,42
com.bo,42
gov.in,41
go.kr,41
org.za,40
az,39
io,39
go.cr,38
tw,38
gov.tr,38
gob.cl,36
com.pk,35
com.my,35
edu.tw,35
edu.ve,35
nu,35
co.in,34
go.th,34
org.pe,33
ac.be,33
ad,33
com.ph,33
ec,32
lu,32
org.cn,32
com.gt,32
tx.us,32
lg.jp,32
gov.cn,32
nic.in,31
edu.cn,31
com.sv,31
lt,31
ac.za,30
ae,30
ph,30
gov.lv,30
com.ua,30
