index,citeTld
com,146401
jp,52987
co.jp,44709
org,26333
net,11120
co.uk,10313
gov,8521
go.jp,7884
ac.jp,6843
or.jp,5961
edu,5577
mu,5335
de,4819
ne.jp,3626
lg.jp,2629
fr,2221
tv,2120
org.uk,1243
ca,1174
ac.uk,968
com.au,938
it,913
info,894
ru,842
nl,726
eu,660
es,629
se,567
go.th,554
is,534
gr.jp,530
gov.au,435
gov.uk,432
co.kr,419
int,417
no,416
fi,410
blogspot.com,371
com.cn,370
ch,352
ie,349
biz,323
co.nz,299
dk,285
be,260
cz,235
ed.jp,234
blogspot.jp,234
ro,230
tokyo.jp,217
ag,216
us,207
at,197
pa.us,196
pl,194
cn,184
gc.ca,181
edu.cn,173
hu,169
mil,168
net.au,164
aichi.jp,148
pt,147
si,137
va,134
or.kr,134
tx.us,133
cc,133
com.br,130
gov.cn,128
nj.us,126
com.tw,123
uk,122
gouv.fr,117
osaka.jp,115
hr,113
gov.br,109
hachioji.tokyo.jp,109
gr,106
me,104
edu.au,103
miyagi.jp,98
ee,94
asia,91
k12.va.us,90
org.au,89
com.ar,88
gov.ph,86
mn.us,84
org.nz,84
saitama.jp,83
city.sapporo.jp,83
co.za,82
kagoshima.jp,82
fm,81
com.hk,78
jpn.com,77
bg,75
nara.jp,74
IPv6 URL,74
co.il,74
io,72
city.sendai.jp,71
vn,68
to,68
cat,64
edu.tw,63
ny.us,61
ibaraki.jp,60
go.kr,59
in,58
k12.nj.us,56
su,55
org.cn,55
or.us,54
lt,54
ac.kr,53
city.nagoya.jp,52
cl,51
ir,50
gov.sg,49
qc.ca,47
kanagawa.jp,47
kuwana.mie.jp,46
shizuoka.jp,45
kyoto.jp,45
iwate.jp,45
mitsuke.niigata.jp,44
ma.us,43
st,43
tokyo,42
gov.il,42
date.hokkaido.jp,42
fl.us,41
com.tr,41
va.us,40
kumamoto.kumamoto.jp,38
hamamatsu.shizuoka.jp,38
tomiya.miyagi.jp,37
city.yokohama.jp,37
ac.il,37
org.il,37
fukui.jp,37
ac.at,36
al.us,36
gov.tr,36
gov.tw,36
tomakomai.hokkaido.jp,36
am,36
gov.in,35
kr,35
gov.kh,35
co,35
oita.jp,35
govt.nz,35
co.th,34
nhs.uk,33
lib.mn.us,33
nagasaki.jp,33
okazaki.aichi.jp,33
odate.akita.jp,33
gov.hk,33
asahikawa.hokkaido.jp,33
kagawa.jp,32
fed.us,32
tw,31
rs,31
com.mk,31
oh.us,31
nic.in,30
okayama.jp,30
ac.za,29
press,29
cu,29
md.us,29
kumamoto.jp,29
fo,29
com.pk,28
sk,27
tn.us,27
nu,27
com.mx,27
travel,27
gov.by,27
vt.us,27
tomigusuku.okinawa.jp,26
naha.okinawa.jp,26
org.tw,26
org.eg,26
br,25
k12.oh.us,25
hakodate.hokkaido.jp,25
gunma.jp,24
il.us,24
id.us,24
gov.pl,24
ae,24
ak.us,24
ishikawa.jp,24
fukuoka.jp,23
gov.vn,23
blogspot.co.uk,23
ge,22
com.ph,22
ws,22
nc.us,22
gov.ua,22
lu,22
ga.us,22
k12.in.us,21
aero,21
qld.gov.au,21
lv,21
kz,20
okinawa.jp,20
go.id,20
ca.us,20
k12.ky.us,20
ok.us,20
mie.jp,19
fukushima.fukushima.jp,19
ms.us,19
by,19
org.za,19
fukushima.jp,19
hiroshima.jp,19
kommune.no,18
nagaoka.niigata.jp,18
ua,18
machida.tokyo.jp,18
uz,18
ia.us,18
nagano.jp,18
la.us,18
com.my,17
hk,17
org.br,17
kanra.gunma.jp,17
gv.at,17
bz,17
wi.us,17
beppu.oita.jp,16
edu.tr,16
