ab,1
af,87
als,43
am,1
an,14
ang,2
ar,431
arz,7
as,10
ast,38
av,1
ay,2
az,67
azb,11
ba,8
bar,24
bat-smg,3
bcl,8
be,51
be-tarask,60
bg,193
bh,1
bn,74
bpy,1
br,27
bs,66
bxr,4
ca,412
cbk-zam,2
ce,7
ceb,1
chr,2
ckb,37
cs,399
csb,1
cu,4
cv,5
cy,41
da,237
de,3056
diq,7
dsb,5
dv,2
el,275
eml,3
en,5734
eo,121
es,1181
et,122
eu,72
ext,2
fa,269
fi,864
fiu-vro,1
fo,27
fr,2695
frp,1
frr,3
fur,1
fy,15
ga,27
gd,24
gl,114
glk,2
gn,2
gom,1
gu,13
gv,4
hi,53
hif,2
hr,147
hsb,5
ht,4
hu,416
hy,128
ia,5
id,178
ig,3
ilo,7
io,10
is,22
it,1058
ja,783
jbo,1
jv,22
ka,59
kab,2
kbd,4
kk,36
km,6
kn,32
ko,208
krc,1
ku,5
ky,2
la,44
lad,5
lb,35
lez,8
li,7
lmo,7
ln,1
lo,1
lrc,1
lt,93
ltg,1
lv,104
mai,2
map-bms,1
mg,11
mhr,1
min,3
mk,72
ml,74
mn,25
mr,22
ms,79
mt,8
mwl,8
my,14
myv,2
mzn,5
na,1
nah,2
nds,40
nds-nl,7
ne,11
new,2
nl,640
nn,39
no,474
nv,1
ny,1
oc,16
or,32
os,1
pa,32
pap,4
pcd,5
pdc,1
pfl,2
pl,965
pms,3
pnt,1
ps,1
pt,970
qu,3
rm,8
ro,230
roa-tara,3
ru,1330
rue,3
sa,1
sah,2
sc,1
scn,1
sco,23
sd,2
se,1
sh,40
si,7
simple,239
sk,74
sl,98
so,4
sq,40
sr,163
ss,2
su,5
sv,647
sw,8
szl,6
ta,66
te,34
tet,3
tg,1
th,114
tl,23
tpi,1
tr,382
tt,17
tyv,3
ug,2
uk,442
ur,27
uz,11
vec,9
vep,15
vi,202
vls,1
vo,1
war,3
wuu,5
xal,1
xh,1
xmf,5
yi,3
yo,5
zea,1
zh,604
zh-classical,2
zh-min-nan,3
zh-yue,24
zu,1
