index,citeTld
com,93541
gov,26245
com.br,21605
org,18914
co.uk,7771
pt,7123
cz,5760
gov.br,4612
net,4028
edu,3670
de,3471
fr,2902
it,2538
br,2460
org.br,1533
ca,1151
es,1095
se,950
org.uk,862
com.au,729
eu,692
info,644
nl,622
ac.uk,605
ru,576
co.jp,505
ch,492
blogspot.com,390
int,353
be,348
dk,299
edu.br,298
com.ar,298
va,289
jp,285
is,279
no,249
gob.mx,236
gov.uk,234
at,221
us,219
gov.au,218
ie,218
com.mx,215
tv,213
wmflabs.org,192
cl,178
fi,176
hu,168
co.nz,163
ro,162
gc.ca,159
net.au,157
pl,143
co.kr,137
co.za,135
jus.br,133
cat,129
edu.au,117
biz,116
blogspot.pt,110
go.jp,106
mil,90
org.nz,87
gr,87
gov.ar,85
gov.il,81
or.jp,80
go.th,80
sk,79
gouv.fr,78
mx,76
leg.br,76
ac,75
com.cn,74
gob.ar,69
uk,58
ee,57
org.mx,54
org.au,53
inf.br,51
org.il,50
me,50
cn,48
pro.br,48
co.il,47
fm,45
com.tr,44
org.ar,44
or.kr,44
mu,44
co.ao,43
hr,43
am,42
in,41
co,41
gov.mo,41
cv,41
co.mz,40
net.br,40
ao,39
com.pt,38
ac.jp,38
nu,37
lu,37
blogspot.com.br,35
gov.pt,34
art.br,34
asia,34
ac.at,34
si,34
com.uy,33
cc,33
ne.jp,32
med.br,32
ac.il,31
cu,31
ws,31
com.my,30
tur.br,30
bg,30
org.za,29
com.tw,28
org.cn,28
ae,27
gov.my,26
mil.br,26
gov.mz,26
org.tr,26
gov.sg,26
go.kr,26
govt.nz,25
jor.br,25
asso.fr,25
ge,25
ac.za,25
mz,25
nic.in,24
gov.ua,24
gov.za,24
IPv6 URL,24
gov.in,24
rs,23
edu.cn,22
co.in,22
qc.ca,22
edu.ar,22
vic.gov.au,21
nhs.uk,21
com.ua,21
ac.kr,21
ag,21
com.pk,20
com.hk,20
mus.br,19
ir,19
gov.tr,19
gov.cn,19
pe,19
gov.tw,19
com.py,19
ua,18
lv,17
co.ve,17
az,17
tl,17
lg.jp,17
edu.tw,16
agulha.nom.br,16
com.mo,16
gov.sa,15
gov.ec,15
lt,15
gov.lv,15
co.bw,15
mb.ca,15
ac.be,15
gov.ph,15
mp.br,15
gl,14
tx.us,14
org.eg,14
com.ec,14
gov.hk,14
tw,14
edu.pl,14
edu.kh,14
kz,13
gov.py,13
gov.by,13
go.id,13
blogspot.co.uk,13
edu.pe,13
io,13
com.pe,12
com.bn,12
blog.br,12
gov.tl,12
ca.us,12
com.ph,12
gub.uy,12
blogspot.com.es,12
on.ca,12
gov.co,12
amazonaws.com,12
today,11
by,11
edu.co,11
com.co,11
ar,11
com.ve,11
li,11
org.ua,11
name,10
gv.at,10
nf.ca,10
org.pt,10
kiev.ua,10
gov.pl,10
ac.th,10
md,10
sp.leg.br,10
pa.us,9
ny.us,9
edu.tr,9
com.cy,9
gal,9
gov.ps,9
blogspot.fr,9
gov.jo,9
gov.eg,9
lk,9
ac.nz,9
gob.ve,9
edu.sg,8
com.pa,8
tokyo.jp,8
su,8
mc,8
co.ke,8
gob.ec,8
ac.in,7
ac.mz,7
ec,7
historia.nom.br,7
s3.amazonaws.com,7
gob.pe,7
org.pl,7
edu.hk,7
com.sg,7
fl.us,7
to,7
bc.ca,7
aero,7
fed.us,7
com.mt,7
kr,7
com.do,6
tv.br,6
xyz,6
spb.ru,6
gov.ae,6
al.us,6
blogspot.ca,6
as,6
kommune.no,6
mt,6
eng.br,6
net.nz,6
org.my,6
adv.br,6
travel,6
ma,6
bw,6
eu.com,5
com.gt,5
au,5
gov.pk,5
eti.br,5
ok.us,5
com.pl,5
com.ni,5
edu.lb,5
co.id,5
gov.bd,5
org.in,5
co.ug,5
pr,5
jo,5
vg,5
net.tw,5
ac.id,4
shiga.jp,4
gr.jp,4
com.sa,4
krakow.pl,4
nara.jp,4
city.sapporo.jp,4
blogspot.nl,4
gov.az,4
fo,4
org.tw,4
gov.cy,4
gov.bn,4
hn,4
sg,4
museum,4
go.tz,4
sk.ca,4
ac.rs,4
edu.uy,4
com.lb,4
eus,4
gov.ru,4
info.ec,4
direct,4
com.vn,4
edu.ec,4
hiroshima.jp,4
my,4
gov.lk,4
la,4
pe.ca,4
org.mz,4
org.gr,4
ba,4
vn,4
org.gt,3
osaka.jp,3
ng,3
com.np,3
gob.es,3
fukui.fukui.jp,3
lib.mi.us,3
tn,3
tk,3
com.tn,3
ab.ca,3
ph,3
org.ph,3
blogspot.de,3
bio.br,3
wroc.pl,3
gov.ve,3
org.py,3
gov.qa,3
gob.do,3
mil.ec,3
edu.bn,3
fi.it,3
il.us,3
miranda.nom.br,3
pp.se,3
cloudfront.net,3
bo,3
ac.cr,3
br.com,3
bel.tr,3
police.uk,3
pe.leg.br,3
ad,3
or.id,3
muni.il,3
gov.mv,3
md.us,3
mn.us,3
sm,3
lviv.ua,3
com.mv,3
sardegna.it,3
edu.mx,3
com.na,3
wa.gov.au,3
edu.sv,3
dz,3
org.uy,3
co.th,3
edu.ua,2
cd,2
gov.np,2
org.lb,2
heu.nom.br,2
gov.sy,2
or.th,2
mil.by,2
co.rs,2
info.tn,2
org.ve,2
ac.cn,2
ve,2
g12.br,2
uz,2
higashikawa.hokkaido.jp,2
aq,2
gov.lt,2
af,2
fin.ec,2
roma.it,2
oh.us,2
ia.us,2
org.hk,2
org.tn,2
com.al,2
gov.lb,2
yamanashi.jp,2
nl.ca,2
com.eg,2
presse.fr,2
nj.us,2
