index,refTld
fr,411295
com,355175
org,229325
cz,80353
de,70942
gov,57745
co.uk,20670
hu,14984
pl,13985
it,12586
nl,10134
eu,9668
go.th,6848
gov.ph,6705
ro,6429
ac.uk,6288
se,5513
co.jp,5213
net,4944
no,4879
ee,4609
fi,4478
es,4300
edu,4265
ca,4149
gov.br,3495
ma,3477
gov.il,3148
ch,2632
nic.in,2568
ru,1912
dk,1826
gov.au,1596
org.uk,1462
info,1355
ac,1321
co.za,1238
org.mx,1162
lg.jp,1046
be,1006
com.au,851
qc.ca,796
gc.ca,770
at,733
int,694
edu.au,557
gov.uk,523
cat,464
tv,444
pt,437
gouv.fr,416
mt,414
gov.ar,413
jp,393
ie,368
gv.at,354
gov.np,273
co.nz,272
hr,270
com.br,233
go.id,228
ms,218
gr,218
gov.ua,205
su,200
org.tw,194
wales,193
fm,172
is,167
net.au,164
com.cn,148
si,144
gob.ar,142
uk,138
com.ar,138
lv,136
com.ua,130
mil,130
blogspot.com,128
bg,125
rs,117
gov.by,116
gov.cn,109
tokyo.jp,109
cl,108
am,108
sk,106
by,105
co.rs,102
go.jp,102
me,101
md,95
gob.mx,94
in,92
com.mx,92
gov.lv,85
ac.jp,84
gov.pl,84
wmflabs.org,83
io,83
go.kr,83
ws,80
nara.jp,79
ua,76
govt.nz,71
aichi.jp,71
osaka.jp,71
nu,70
to,69
org.pl,68
or.jp,66
asia,65
co.il,65
gov.tr,64
com.tr,64
org.ir,64
lt,63
ac.cy,61
com.cy,60
miyagi.jp,60
kiev.ua,59
va,59
fukushima.jp,57
com.pk,56
wa.gov.au,56
lu,55
com.my,55
co.kr,54
biz,54
kz,54
org.au,53
cn,52
mx,52
vic.gov.au,50
kumamoto.jp,50
ac.il,50
shizuoka.jp,49
gov.py,49
kagoshima.jp,48
cc,46
nagasaki.jp,46
ir,42
ibaraki.jp,42
co,41
org.il,41
edu.pl,41
okinawa.jp,40
ishikawa.jp,40
gov.in,40
ag,39
kyoto.jp,39
museum,38
okayama.jp,37
ac.at,37
yamagata.jp,36
ax,36
eus,35
gunma.jp,34
org.za,34
us,34
yamanashi.jp,33
on.ca,32
gov.sa,32
ae,32
iwate.jp,32
com.uy,32
co.ke,31
gob.es,31
edu.ua,31
gov.tw,30
gov.mz,30
gov.al,29
org.ua,29
org.cy,29
co.mz,29
so,27
org.cn,27
gov.hk,27
cu,26
org.nz,26
org.tr,25
org.eg,24
blogspot.co.uk,24
co.id,23
im,23
gdansk.pl,23
