index,refHost
books.google.com,158027
www.census.gov,112053
www.nytimes.com,107334
www.imdb.com,100899
web.archive.org,94703
news.bbc.co.uk,79664
www.bbc.co.uk,58642
www.theguardian.com,56137
www.youtube.com,55624
en.wikipedia.org,45067
www.telegraph.co.uk,39727
www.rottentomatoes.com,35891
www.hollywoodreporter.com,34170
www.boxofficemojo.com,33584
www.czso.cz,32399
www.billboard.com,28854
variety.com,26877
www.washingtonpost.com,25371
www.ncbi.nlm.nih.gov,24539
www.independent.co.uk,24517
www.allmusic.com,23999
www.guardian.co.uk,23285
www.dailymail.co.uk,23058
www.spiegel.de,21845
www.metacritic.com,21668
www.sports-reference.com,21354
archive.org,21111
news.google.com,20090
query.nytimes.com,19773
www.people.com,18621
articles.latimes.com,18592
www.variety.com,18304
factfinder.census.gov,18016
www.time.com,17917
www.bbc.com,17697
www.reuters.com,17618
www.olimpbase.org,17319
www.lemonde.fr,17115
www.rollingstone.com,16824
www.mtv.com,16765
www.forbes.com,16313
www.britannica.com,16235
books.google.fr,16177
www.usatoday.com,15311
twitter.com,14814
deadline.com,14781
www.amazon.com,14475
www.huffingtonpost.com,14327
www.ew.com,13990
mcdc.missouri.edu,13717
gallica.bnf.fr,13614
www.kia.hu,13524
boxofficemojo.com,13011
books.google.de,12996
archive.is,12634
www.lefigaro.fr,12595
geonames.usgs.gov,12567
www.scb.se,12401
www.filmreference.com,11893
www.latimes.com,11814
www.cia.gov,11739
www.discogs.com,11416
movies.nytimes.com,11391
whc.unesco.org,11354
www.rsssf.com,11353
www.oricon.co.jp,10955
books.google.ca,10704
www.cnn.com,10550
www.fifa.com,10373
www.ratchakitcha.soc.go.th,10186
www.bbfc.co.uk,10132
timesofindia.indiatimes.com,9968
www.animenewsnetwork.com,9877
ratings.fide.com,9700
www.deadline.com,9493
www.google.com,9487
tvbythenumbers.zap2it.com,9294
neo.jpl.nasa.gov,9288
www.jstor.org,8912
www.uefa.com,8889
www.afi.com,8863
edition.cnn.com,8801
www.zeit.de,8714
www.bloomberg.com,8631
itunes.apple.com,8630
rogerebert.suntimes.com,8603
www.welt.de,8580
www.allocine.fr,8500
ameblo.jp,8494
www.tcm.com,8438
www.nasa.gov,8344
www.valasztas.hu,8296
www.facebook.com,8281
www.nba.com,8276
www.theplantlist.org,8204
books.google.co.uk,8133
www.faz.net,7955
www.nobelprize.org,7761
www.worldcat.org,7697
www.elmundo.es,7644
simbad.u-strasbg.fr,7635
www.abc.net.au,7491
www.liberation.fr,7462
www.cbc.ca,7424
www.cbsnews.com,7233
www.nydailynews.com,7171
abcnews.go.com,7107
www.smh.com.au,7094
www.sfgate.com,7040
sports.espn.go.com,7023
www.repubblica.it,7012
www.timesonline.co.uk,6965
www.findagrave.com,6930
yle.fi,6910
select.nytimes.com,6903
www.comingsoon.net,6899
www.npr.org,6828
www.pbs.org,6825
natalie.mu,6812
www.nepszamlalas.hu,6666
nobelprize.org,6632
espn.go.com,6604
www.ign.com,6578
quickfacts.census.gov,6527
www.digitalspy.co.uk,6509
www.thehindu.com,6505
www.wwe.com,6502
books.google.es,6455
www.foxnews.com,6267
www.lexpress.fr,6216
www.allmovie.com,6209
www.un.org,6172
lenta.ru,6156
www.webcitation.org,6133
factfinder2.census.gov,6106
portal.ksh.hu,6067
www.highbeam.com,6059
www.sueddeutsche.de,6031
www.tvguide.com,6028
www.ksh.hu,6022
books.google.it,6004
www.who.int,5981
www.ssb.no,5845
www.the-numbers.com,5769
www.baseball-reference.com,5726
www.elpais.com,5687
nla.gov.au,5685
penelope.uchicago.edu,5663
adsabs.harvard.edu,5657
www.nature.com,5630
www.playbill.com,5520
archiviostorico.corriere.it,5467
www.dreadcentral.com,5467
collider.com,5453
www.empireonline.com,5450
www.economist.com,5407
www.insee.fr,5399
www.haaretz.com,5261
elpais.com,5260
www.hs.fi,5229
latimesblogs.latimes.com,5191
www.goal.com,5159
www.mark-weeks.com,5134
www.cdc.gov,5096
www.thewrap.com,5092
www.gamespot.com,5028
www.cinematoday.jp,5024
www.boston.com,4929
www.culture.gouv.fr,4893
www.treccani.it,4869
online.wsj.com,4869
demo.istat.it,4866
findarticles.com,4859
news.naver.com,4846
articles.timesofindia.indiatimes.com,4828
pqasb.pqarchiver.com,4828
catalogue.bnf.fr,4806
www.world-gazetteer.com,4804
www.newyorker.com,4744
www.lepoint.fr,4737
mapserver.lib.virginia.edu|,4722
www.leparisien.fr,4681
www.topuniversities.com,4643
money.cnn.com,4615
www.msnbc.msn.com,4590
www.archive.org,4584
www.sciencedirect.com,4535
www.wsj.com,4509
www.jpbox-office.com,4491
www.ft.com,4456
esadir.cat,4426
www.nme.com,4419
www.uir.cz,4406
www.lequipe.fr,4389
www.nps.gov,4378
www.hindu.com,4364
www.sponichi.co.jp,4357
news.xinhuanet.com,4333
books.google.com.br,4323
articles.chicagotribune.com,4321
www.statoids.com,4317
geoportal.gov.cz,4289
www.corriere.it,4273
www.mirror.co.uk,4268
www.eonline.com,4242
www.gazzetta.it,4220
www.vatican.va,4218
ricerca.repubblica.it,4204
www.oscars.org,4188
www.rogerebert.com,4172
onlinelibrary.wiley.com,4137
www.persee.fr,4113
www.newspapers.com,4069
g1.globo.com,4058
www.chessbase.com,4049
www.citypopulation.de,4042
www.newadvent.org,4022
github.com,4009
www.legifrance.gouv.fr,4008
www.basketball-reference.com,3996
www.ibge.gov.br,3993
www.usmagazine.com,3989
sportsillustrated.cnn.com,3979
books.google.cat,3933
blogs.indiewire.com,3930
www.rediff.com,3911
www.theage.com.au,3910
arkivet.dn.se,3882
www.focus.de,3874
www.nikkansports.com,3845
pub.stat.ee,3819
www.slashfilm.com,3817
www.marca.com,3809
www.lanacion.com.ar,3800
www.bollywoodhungama.com,3785
www.chessgames.com,3769
www.ams.org,3755
www.quirinale.it,3750
dx.doi.org,3732
german.imdb.com,3726
www.oxforddnb.com,3725
www.wired.com,3719
news.yahoo.com,3699
www.tagesspiegel.de,3696
soccernet.espn.go.com,3685
movies.yahoo.com,3675
ec.europa.eu,3659
mlb.mlb.com,3653
www.iaaf.org,3643
www.biography.com,3604
ria.ru,3588
www.shanghairanking.com,3573
www.theglobeandmail.com,3554
www1.folha.uol.com.br,3551
www.assemblee-nationale.fr,3512
www.state.gov,3504
www.indiewire.com,3468
www.hindustantimes.com,3468
www.statistik-bw.de,3449
www.loc.gov,3434
www.thestar.com,3430
en.chessbase.com,3401
derstandard.at,3371
www.politico.com,3361
nymag.com,3359
www.nzz.ch,3357
www.amazon.co.uk,3353
www.screendaily.com,3344
www.nfl.com,3322
www.perseus.tufts.edu,3317
books.google.ru,3308
entertainment.timesonline.co.uk,3235
www.officialcharts.com,3224
www.dn.se,3213
www.imf.org,3191
www.asahi.com,3179
insidemovies.ew.com,3175
eiga.com,3175
www.timeshighereducation.co.uk,3156
www.abc.es,3153
tempsreel.nouvelobs.com,3151
www.avclub.com,3148
runeberg.org,3136
122.54.214.222,3118
www.blabbermouth.net,3095
babel.hathitrust.org,3091
www.cinema.de,3081
www.irishtimes.com,3078
www.nndb.com,3053
time.com,3046
www.prnewswire.com,3033
www.festival-cannes.fr,3029
www.theartofpainting.be,2998
www.fda.gov,2995
www.gutenberg.org,2992
www.tv.com,2978
www.vanityfair.com,2971
www.businessweek.com,2964
hdr.undp.org,2963
factfinder.census.gov|,2958
www.ultratop.be,2958
ftvdb.bfi.org.uk,2944
www.news.com.au,2940
www.slate.com,2923
www.filmweb.pl,2921
www.indiaglitz.com,2898
www.mymovies.it,2895
www.eurogamer.net,2889
www.kommersant.ru,2888
www.riaa.com,2886
www.contactmusic.com,2869
www.boe.es,2862
eur-lex.europa.eu,2851
www.heise.de,2840
www.bloody-disgusting.com,2819
www.gks.ru,2803
uk.reuters.com,2803
www.svd.se,2798
www.jpost.com,2787
www.thesun.co.uk,2775
nl.newsbank.com,2773
www.dbnl.org,2768
www.taz.de,2766
www.atpworldtour.com,2752
www.businessinsider.com,2746
www.clarin.com,2739
colleges.usnews.rankingsandreviews.com,2729
www.answers.com,2717
www.cinemablend.com,2709
www.encyclopedia.com,2676
www.tate.org.uk,2676
www.insse.ro,2675
www.salon.com,2667
www.europarl.europa.eu,2652
www.ibdb.com,2633
www.sify.com,2625
www.imdb.it,2610
www.abs.gov.au,2609
www.independent.ie,2591
www.timeout.com,2590
www.london-gazette.co.uk,2586
www.boxofficeindia.com,2586
pwtorch.com,2583
usatoday30.usatoday.com,2577
www.cyclingnews.com,2574
www.state.nj.us,2572
pubchem.ncbi.nlm.nih.gov,2571
cfa-www.harvard.edu,2570
www.nu.nl,2560
www.legacy.com,2557
www.realmadrid.com,2555
mdpr.jp,2536
www.chicagotribune.com,2522
www.eurovision.tv,2521
www.nzherald.co.nz,2514
www.nj.com,2512
www.filmstarts.de,2503
filmmusicreporter.com,2484
www.unesco.org,2473
www.adorocinema.com,2472
www.nationalregisterofhistoricplaces.com,2471
www.rte.ie,2459
nos.nl,2446
calmview.musikverk.se,2443
www.theatlantic.com,2443
www.bizjournals.com,2442
www.365chess.com,2441
www.metmuseum.org,2435
apps.who.int,2429
www.flightglobal.com,2429
www.nrk.no,2428
blogs.wsj.com,2427
www.nscb.gov.ph,2424
stat.dopa.go.th,2416
www.badtaste.it,2403
www.academia.edu,2403
www.ethnologue.com,2397
trove.nla.gov.au,2396
mainichi.jp,2391
chess-results.com,2388
www.grammy.com,2383
www.usnews.com,2383
demoscope.ru,2377
www.weatherbase.com,2372
www.onlineworldofwrestling.com,2371
www.volkskrant.nl,2366
nlftp.mlit.go.jp,2363
books.google.be,2344
www.allcinema.net,2335
familysearch.org,2327
www.nlm.nih.gov,2325
techcrunch.com,2321
www.kicker.de,2321
www.tennisfame.com,2318
www.comicbookresources.com,2311
arxiv.org,2302
www.dnaindia.com,2295
mediaarts-db.jp,2292
www.doublage.qc.ca,2252
tvline.com,2243
pitchfork.com,2241
sports.yahoo.com,2240
www.aftonbladet.se,2238
www.ourcampaigns.com,2234
apps.kew.org,2232
sankei.jp.msn.com,2223
www.whitehouse.gov,2222
www.nypost.com,2215
www.flickr.com,2211
en.wikisource.org,2204
www.japantimes.co.jp,2202
www.roadrunnerrecords.com,2196
www.eurosport.fr,2192
www.yomiuri.co.jp,2190
www.senat.fr,2188
www.thedailybeast.com,2184
www.hitfix.com,2180
pubs.acs.org,2171
www.csmonitor.com,2171
www.dagbladet.no,2152
www.marxists.org,2147
screenrant.com,2146
www.villagevoice.com,2137
www.scribd.com,2137
www.lesechos.fr,2135
www.edrc.ro,2132
data.worldbank.org,2130
bbfc.co.uk,2130
www.thefreelibrary.com,2126
www.space.com,2113
www.dw.de,2110
www.pro-football-reference.com,2106
www.digitalspy.com,2104
www.beclocale2008.ro,2102
commons.wikimedia.org,2100
www2.census.gov,2099
www.bfi.org.uk,2089
lcweb2.loc.gov,2081
www.rgre.de,2079
www.stern.de,2075
www.goodreads.com,2074
