index,citeTld
com,2696285
org,680476
co.uk,274348
de,265498
gov,224861
fr,196069
edu,162191
net,146713
ru,123838
it,104200
cz,55240
hu,54013
se,52307
es,49100
ca,48246
co.jp,46805
nl,46036
jp,44666
fi,44190
pl,32810
org.uk,31712
no,31329
com.br,29966
ac.uk,29492
com.au,29334
ch,29227
info,27592
eu,25323
ro,23590
be,22037
at,18258
dk,18123
gov.au,16622
cat,14731
int,13450
gov.uk,13413
gouv.fr,12016
pt,11758
blogspot.com,11557
ee,11291
go.jp,11236
gr,11049
tv,11036
is,10985
go.th,10692
ie,10272
gov.br,10192
com.ar,9622
hr,8923
com.cn,8418
co.kr,8325
ac.jp,7090
ir,6876
us,6848
or.jp,6795
gov.ph,6706
co.nz,6521
in,6203
com.tr,5988
net.au,5925
gc.ca,5898
cl,5651
bg,5640
edu.au,5617
va,5557
co.za,5518
ua,5475
com.mx,5249
qc.ca,4886
rs,4619
gob.mx,4593
com.ua,4491
mu,4316
mil,4285
br,4196
am,4098
com.tw,4091
lv,3956
nic.in,3930
cn,3819
sk,3807
by,3705
co.il,3704
lt,3646
uk,3617
gov.ua,3503
ne.jp,3489
lg.jp,3431
si,3330
ac.at,3288
gov.il,3092
gov.in,3003
biz,2874
org.au,2872
nj.us,2722
mx,2687
gov.pl,2590
edu.cn,2523
org.br,2509
gv.at,2418
az,2375
govt.nz,2366
edu.pl,2344
co.in,2309
or.kr,2307
ac.in,2303
com.my,2192
edu.tw,2183
gov.tr,2117
gov.cn,2078
com.pk,2011
kz,1957
lu,1882
org.mx,1839
org.il,1829
org.nz,1798
vn,1764
cc,1729
me,1670
gov.hk,1668
org.ua,1668
edu.tr,1659
co.th,1642
com.uy,1586
gov.lv,1581
org.pl,1496
org.za,1458
com.hk,1435
co,1423
ac.il,1409
gov.ar,1373
cu,1371
nu,1316
com.vn,1315
go.kr,1304
gov.tw,1258
ge,1245
md,1242
ae,1238
vic.gov.au,1216
kiev.ua,1193
IPv6 URL,1191
gov.sg,1163
pe,1142
fm,1132
tx.us,1110
ac.th,1098
nhs.uk,1080
blogspot.fr,1056
ma,1054
gov.za,1039
org.eg,1025
ac.kr,1011
org.cn,1010
go.id,1003
su,997
ac.za,981
io,980
ws,971
asia,952
ac.nz,928
edu.ar,915
ac,909
asso.fr,901
com.ph,900
ba,894
hk,889
com.pl,877
gov.ru,874
eus,852
gov.eg,847
lk,846
org.ar,844
gov.np,837
kommune.no,832
org.tw,825
wmflabs.org,814
blogspot.com.es,804
spb.ru,799
org.tr,786
blogspot.co.uk,773
blogspot.de,766
ac.ir,747
qld.gov.au,745
fo,743
gov.my,741
com.co,731
on.ca,723
ac.be,720
gov.by,707
msk.ru,692
ph,667
edu.hk,649
edu.ph,633
mn.us,620
tw,589
wa.gov.au,589
gr.jp,588
pa.us,588
edu.sg,566
co.id,566
edu.co,560
com.mk,554
in.ua,554
gov.co,552
com.pe,549
sa.gov.au,527
org.hk,526
hn,521
org.ir,512
poznan.pl,506
uz,505
com.mt,504
com.ec,502
ac.rs,501
mt,495
blogspot.it,489
gob.es,485
nc,482
pro.br,475
bc.ca,468
edu.br,462
tokyo.jp,460
org.in,456
mn,449
com.cy,446
gub.uy,445
aero,434
gob.ar,431
gov.it,426
li,424
gob.pe,420
kr,416
mc,410
edu.pk,408
ad,402
ny.us,399
edu.sa,397
org.rs,391
s3.amazonaws.com,390
gov.vn,382
museum,382
sg,381
gov.pk,377
net.ua,377
edu.my,374
co.ke,368
travel,363
or.th,362
mk,360
com.do,356
edu.ua,353
ag,343
ac.id,342
to,340
art.pl,336
or.us,334
com.ve,333
krakow.pl,331
com.lb,330
name,329
org.np,328
ar,325
gl,324
blogspot.in,324
gov.rs,323
gov.mo,322
gov.sa,322
fi.it,321
com.sg,320
lviv.ua,320
edu.ru,316
co.ug,316
presse.fr,306
dz,301
ca.us,300
blogspot.ca,292
gov.bd,291
mb.ca,289
net.nz,278
k12.nj.us,274
tn,273
com.na,272
al,270
com.ni,267
me.uk,266
gob.ve,261
kg,257
com.py,254
edu.in,251
edu.vn,251
tj,250
gov.ge,248
com.eg,248
ed.jp,248
net.kw,244
tk,241
rzeszow.pl,241
oh.us,241
res.in,238
today,237
org.ph,237
bw,235
fed.us,234
edu.pe,231
edu.uy,230
gov.kh,229
edu.sv,229
gov.mk,228
com.sa,227
gov.ps,227
wroc.pl,221
fl.us,221
рф,218
ps,217
gov.al,216
milano.it,204
jo,203
my,202
ma.us,202
blogspot.com.ar,202
gob.sv,201
com.bd,201
blogspot.jp,200
il.us,198
blogspot.ru,197
blogspot.mx,197
com.tn,196
je,196
gov.jo,196
tas.gov.au,195
gov.py,194
gov.lt,194
va.us,194
gob.ec,193
blogspot.com.au,193
ab.ca,191
gov.et,190
im,184
sm,181
zp.ua,181
edu.lb,180
github.io,178
cloudfront.net,177
jus.br,176
cv,175
police.uk,175
edu.jo,173
md.us,173
edu.kh,173
coop,172
org.mk,172
ve,169
edu.eg,169
ac.cn,168
org.uy,168
com.kw,166
org.sg,165
blogspot.nl,164
warszawa.pl,164
tn.us,163
org.ve,163
org.vn,163
gal,162
or.id,162
gov.lk,161
muni.il,161
co.mz,161
ng,159
aichi.jp,158
edu.mx,158
city.sapporo.jp,158
uk.com,158
waw.pl,156
gov.az,153
nc.us,153
co.ve,153
pf,152
org.my,149
co.rs,148
gov.ma,146
roma.it,146
amazonaws.com,146
mobi,146
sn,145
bel.tr,144
st,143
go.tz,143
mil.ru,143
au,142
ac.bd,140
ak.us,138
tl,138
sy,136
wales,135
blogspot.fi,135
edu.ng,135
blogspot.pt,134
com.ng,134
pro,134
blogspot.gr,133
scot,133
ax,133
venezia.it,132
ok.us,132
blogspot.se,131
ac.cr,130
gen.tr,130
com.bn,129
gov.cy,129
k12.ca.us,128
opole.pl,128
mg,127
kharkov.ua,125
gov.sy,125
ac.ru,125
gov.lb,124
org.mt,124
gov.tt,124
pk,124
al.us,123
ru.net,123
com.pa,123
dp.ua,122
edu.ec,119
gov.gr,119
ms,119
wy.us,119
eu.com,118
gob.bo,117
mi.it,117
sk.ca,117
gov.tl,117
gob.ni,116
org.co,113
asn.au,112
gov.qa,112
if.ua,112
gov.kz,112
yk.ca,112
ac.lk,112
gov.ve,112
kyoto.jp,111
co.ao,111
blogspot.no,111
gov.pt,110
ao,110
paris,110
ec,109
gov.af,109
blogspot.hu,108
gov.ec,108
aq,107
edu.sd,106
leg.br,106
osaka.jp,106
homeoffice.gov.uk,105
gdansk.pl,105
hiroshima.jp,105
ns.ca,104
re,104
gm,104
go.cr,103
gov.tm,103
ia.us,103
hachioji.tokyo.jp,102
edu.al,102
gov.ae,101
