index,citeTld
com,957133
org,202053
co.uk,97463
edu,70959
gov,52035
net,36368
de,22528
ca,19987
org.uk,16272
fr,14800
ac.uk,14012
com.au,13902
it,10156
gov.au,9160
nl,9104
co.jp,7243
ru,7127
info,6190
no,6091
se,5478
ie,5131
gov.uk,5070
eu,4420
blogspot.com,4226
es,4081
ch,4048
dk,3950
ro,3929
jp,3536
in,3459
edu.au,3158
fi,3134
co.nz,3090
be,3088
net.au,2888
cz,2533
nj.us,2509
hu,2496
tv,2412
com.br,2359
co.za,2327
pl,2282
int,2186
us,2162
gov.ph,2155
gc.ca,2006
mil,1903
go.th,1890
at,1859
nic.in,1785
gr,1728
org.au,1719
co.kr,1695
uk,1580
gov.br,1533
govt.nz,1491
ac.in,1490
pt,1385
com.cn,1266
co.in,1198
go.jp,1181
com.ar,1165
co.il,1134
gouv.fr,1126
gov.il,1123
hr,1081
ee,1062
gov.in,1052
com.pk,1043
gob.mx,942
com.mx,906
ac.jp,889
biz,860
si,847
or.kr,820
va,803
or.jp,783
cn,772
tx.us,769
com.tr,761
edu.cn,746
qc.ca,737
org.nz,730
vic.gov.au,700
cl,697
rs,696
com.my,689
nhs.uk,669
org.il,657
is,653
ir,650
am,610
edu.tw,609
cat,606
bg,557
com.ph,554
edu.ph,536
ne.jp,534
br,520
me,516
blogspot.co.uk,511
lk,506
ac.nz,504
mx,500
ac.at,499
gv.at,495
sk,487
ac.il,471
ph,467
asia,457
qld.gov.au,456
co,455
org.za,453
ae,439
on.ca,422
lt,420
sa.gov.au,409
gov.sg,407
IPv6 URL,403
gov.hk,388
ac.za,380
com.ua,362
lv,360
org.br,359
wa.gov.au,351
fm,346
mu,343
edu.tr,340
gov.cn,337
edu.sg,332
edu.pk,324
mt,305
pa.us,296
ua,295
com.tw,294
com.hk,293
ac.kr,288
ac.th,276
cc,272
bc.ca,272
org.cn,270
go.kr,267
com.mt,261
lu,259
gov.za,255
kommune.no,252
lg.jp,245
gov.tr,243
k12.nj.us,239
org.eg,234
kz,234
az,233
edu.pl,230
io,224
hk,223
or.us,220
ba,215
gov.ua,210
mn.us,209
ge,209
org.mx,209
edu.my,207
co.th,206
by,204
ny.us,204
nu,202
ac.ir,201
edu.hk,200
edu.in,200
ws,199
blogspot.ca,197
s3.amazonaws.com,193
org.in,187
gov.pl,183
co.ke,181
gov.my,177
ca.us,176
gov.pk,174
blogspot.in,168
sg,166
org.pl,165
oh.us,165
co.ug,164
com.sg,164
tw,160
cu,158
com.uy,154
gov.tw,149
go.id,145
org.ar,143
org.hk,139
me.uk,137
md,136
aero,136
ma,134
org.tr,134
blogspot.com.au,131
gov.ar,131
org.ua,130
org.ph,130
edu.co,128
edu.kh,125
com.do,124
ab.ca,124
mb.ca,123
fo,122
ma.us,121
org.tw,120
res.in,120
ng,119
vn,118
pe,116
fl.us,115
ac.be,114
hn,113
com.lb,109
edu.ng,106
co.id,105
coop,104
gov.co,104
al,103
blogspot.de,103
police.uk,103
kiev.ua,103
edu.lb,101
org.mt,101
il.us,99
va.us,98
wales,97
gov.bd,97
com.ng,95
edu.jo,95
asso.fr,95
wy.us,94
ac,94
su,94
ac.bd,93
com.gh,91
my,91
museum,90
com.ec,89
to,89
edu.ar,88
uk.com,88
md.us,87
ac.lk,86
net.nz,86
name,86
gov.np,85
tokyo.jp,84
blogspot.fr,84
com.pe,84
ac.id,83
com.cy,83
fed.us,81
com.co,81
gov.eg,80
tas.gov.au,80
mc,79
scot,78
nc.us,78
edu.sa,77
pro.br,76
gov.by,75
or.th,74
go.tz,74
com.pl,74
mn,74
tk,74
com.mk,73
com.vn,72
edu.br,71
ms,70
bw,69
mk,69
asn.au,67
ac.rs,66
com.ni,66
k12.ca.us,65
wi.us,65
tn.us,64
gov.lk,64
github.io,64
gov.kh,63
pk,63
gl,63
spb.ru,63
travel,62
ed.jp,62
amazonaws.com,61
kr,61
org.sg,61
edu.vn,60
cloudfront.net,60
com.na,58
gov.lv,57
al.us,57
ns.ca,56
edu.ua,56
gob.ec,56
k12.in.us,55
k12.ga.us,55
msk.ru,55
sk.ca,55
gr.jp,55
k12.tx.us,54
gov.sa,53
gub.uy,53
yk.ca,53
je,53
lib.ks.us,53
au,52
blogspot.com.es,52
ac.ae,52
com.sa,51
edu.gh,51
mi.us,51
com.ve,51
im,51
ac.ke,51
art.pl,50
edu.al,50
fi.it,50
gob.ar,50
org.rs,50
gov.rs,50
com.bn,49
gov.ru,48
org.np,48
la.us,47
pr,47
poznan.pl,47
ia.us,47
org.my,46
gov.al,46
co.us,46
org.pk,45
ms.us,45
com.bd,45
ak.us,44
jo,44
homeoffice.gov.uk,44
co.zw,44
pe.ca,43
gov.gh,43
ok.us,43
gov.ge,43
wv.us,43
co.tz,42
lib.in.us,42
blogspot.nl,41
org.ir,41
uz,41
edu.pe,41
vt.us,41
opole.pl,40
gob.es,40
li,40
ac.ru,39
edu.qa,38
gob.ve,38
st,38
gov.ie,37
ug,37
hiroshima.jp,37
co.tt,37
cv,37
ar,37
nm.us,36
krakow.pl,36
edu.ni,36
ag,36
gov.it,35
gov.tt,35
com.py,34
wa.us,34
gob.pe,34
dz,34
presse.fr,34
eus,33
edu.bd,33
gov.et,33
dj,33
vic.edu.au,33
gov.vn,33
id.us,32
edu.mt,32
tn,32
gov.ps,32
go.ug,32
ga.us,31
gov.jo,31
edu.mx,31
k12.va.us,31
nf.ca,31
city.sapporo.jp,31
kg,30
news,30
qa,30
nsw.edu.au,30
gov.mk,30
or.id,30
gi,29
tj,29
org.bd,29
com.np,29
mobi,29
gm,29
blogspot.it,29
bm,28
la,28
sd.us,28
edu.ec,28
blogspot.se,28
nv.us,28
co.im,27
edu.uy,27
blogspot.no,27
edu.np,27
blogspot.mx,27
gov.fj,27
wa.edu.au,27
sy,27
org.ve,27
cr,26
edu.ru,26
co.mz,26
gov.cy,26
edu.eg,26
k12.oh.us,25
co.rw,25
ac.cy,25
ac.ug,25
mil.za,25
go.ke,25
net.kw,25
appspot.com,24
gov.jm,24
gov.lt,24
gov.ae,24
co.rs,24
blogspot.jp,23
edu.sv,23
k12.wi.us,23
co.ao,23
blogspot.com.br,23
com.pa,22
sm,22
blogspot.sg,22
uk.net,22
ac.cn,22
ac.tz,22
ve,22
k12.or.us,22
eu.com,22
com.al,22
k12.ia.us,21
yolasite.com,21
com.pg,21
in.us,21
org.qa,21
media,21
ne.us,21
edu.iq,21
or.ke,21
ga,21
cx,20
k12.mo.us,20
com.bo,20
sc.us,20
milano.it,20
gov.mo,20
sn,20
edu.ge,20
nt.ca,20
org.lb,20
k12.la.us,20
k12.mn.us,20
dp.ua,20
edu.kw,19
lib.mi.us,19
edu.ly,19
muni.il,19
com.gt,19
edu.krd,19
blogspot.co.nz,19
art.museum,19
nl.ca,19
tt,19
parliament.nz,19
lib.tx.us,19
gov.lb,19
bh,19
warszawa.pl,18
ps,18
gov.az,18
pn,18
k12.ny.us,18
com.fj,18
wroc.pl,18
gov.py,18
gov.ml,18
ly,18
bel.tr,18
ad,18
org.co,18
k12.ms.us,18
today,18
gov.bs,18
org.mk,17
blogspot.ie,17
ac.cr,17
gov.ng,17
zone,17
gov.zm,17
gob.sv,17
com.tn,17
nh.us,17
gov.gr,17
gov.ir,17
waw.pl,17
re.kr,17
blogspot.be,16
ut.us,16
blogspot.com.ar,16
museum.no,16
gov.gi,16
blogspot.ae,16
ac.zw,16
cm,16
bz.it,16
net.cn,16
if.ua,16
livorno.it,16
ltd.uk,16
k12.nc.us,16
gov.tm,16
gov.qa,16
gob.gt,16
blogspot.pt,16
org.jm,16
gov.ve,15
edu.om,15
tm.fr,15
ao,15
gov.lr,15
takehara.hiroshima.jp,15
edu.bh,15
