index,citeTld
com,170496
fr,131297
org,43337
net,13519
co.uk,9809
gouv.fr,7806
cz,6882
ca,6372
gov,6123
edu,5965
be,5965
de,5678
ch,5221
it,3518
qc.ca,3256
info,3238
eu,2713
es,2270
nl,1785
ro,1763
ru,1716
int,1703
co.jp,1221
ac.uk,1215
org.uk,1211
tv,1004
fi,973
com.au,959
se,902
blogspot.fr,861
gc.ca,789
pl,726
blogspot.com,643
jp,584
asso.fr,531
no,514
at,508
hu,499
va,476
nc,456
pt,437
ma,426
gov.uk,404
com.br,403
gov.au,398
ac.jp,370
dk,343
cat,318
ac.be,314
is,289
gov.np,282
ie,276
co.nz,264
go.jp,262
lu,251
com.ar,245
ee,241
net.au,225
com.cn,218
co.za,213
us,209
presse.fr,209
edu.au,205
ac,204
rs,203
or.jp,194
gr,185
cl,177
co.kr,176
gov.br,168
sk,166
mil,162
edu.pl,162
lv,152
ac.rs,151
biz,147
cn,140
IPv6 URL,140
com.tr,138
com.tn,134
com.mx,134
uk,133
bg,128
am,127
dz,117
or.kr,115
pf,105
co.il,99
tn,99
gov.ph,99
co,96
gov.ma,94
ac.at,91
gov.za,90
org.au,90
hr,89
in,86
gov.il,85
ac.il,83
mu,83
lg.jp,83
sn,82
gov.lv,80
br,78
me,77
gov.pl,76
org.il,74
mc,71
gob.mx,70
by,70
org.za,66
re,65
cc,63
com.hk,61
eu.org,60
museum,60
edu.cn,59
mx,58
govt.nz,56
org.nz,55
com.mk,55
edu.tw,53
fm,53
cu,53
org.cn,51
az,50
com.uy,49
ir,49
org.br,49
ac.nz,47
ne.jp,46
gov.co,46
edu.co,46
com.pk,45
ae,45
org.mx,43
tm.fr,43
gov.mk,43
ge,43
com.ua,43
gov.cn,42
si,41
gov.ar,41
co.ke,40
nu,40
pe,40
lt,39
com.co,39
cci.fr,39
gob.pe,38
on.ca,38
ua,37
tx.us,36
org.ar,36
io,36
org.eg,35
krakow.pl,35
kz,35
gov.ua,34
ac.za,34
co.ma,34
org.pl,34
vic.gov.au,34
gov.hk,34
mk,33
ac.ir,33
gov.mo,33
md,32
gov.in,31
eu.com,31
co.in,30
to,30
gv.at,30
gov.rs,29
com.tw,29
ci,28
li,28
blogspot.be,28
aero,28
ac.in,28
kommune.no,27
gov.tw,27
gov.tn,26
com.pl,26
blogspot.ca,26
bc.ca,25
fi.it,24
gov.tr,24
gouv.sn,24
gr.jp,24
bzh,23
hk,23
vn,23
gl,22
nic.in,22
com.lb,22
mb.ca,22
go.th,22
rnu.tn,22
pro,22
ba,22
com.my,21
hn,21
gov.ml,21
com.fr,20
gov.ru,20
press.ma,20
org.mk,20
travel,20
asia,20
edu.ar,19
cd,19
blogspot.co.uk,19
gov.by,19
gob.es,19
spb.ru,19
fed.us,19
go.id,18
coop,18
blogspot.com.es,18
ws,18
quebec,18
ar,18
tokyo.jp,18
nat.tn,18
eus,17
kiev.ua,17
aeroport.fr,17
gov.et,17
gov.az,17
com.pe,17
art.pl,16
gov.sg,16
tk,16
gub.uy,16
co.th,16
mg,16
edu.tr,16
ac.ma,16
org.ua,16
ac.kr,16
github.io,16
net.tr,16
org.hk,15
bf,15
com.ec,15
s3.amazonaws.com,15
gov.eg,15
ly,14
asso.nc,14
cm,14
su,14
gov.pk,14
edu.lb,14
com.vn,14
org.in,14
org.rs,14
ga,13
paris,13
tl,13
dj,13
ad,13
edu.ec,13
tuxfamily.org,13
edu.vn,12
info.tn,12
blogspot.ch,12
mn,12
gov.kh,12
md.us,12
com.do,12
lk,11
sd.us,11
go.kr,11
org.ma,11
rnrt.tn,11
wa.gov.au,11
blogspot.de,11
edu.hk,11
sg,11
blogspot.cz,11
pa.us,11
im,11
vu,11
showa.gunma.jp,11
vda.it,10
com.mt,10
com.mo,10
nj.us,10
tochigi.jp,10
gov.fj,10
firenze.it,10
bw,10
org.gr,9
com.ni,9
tw,9
edu.pe,9
fo,9
gov.jo,9
rm.it,9
com.pg,9
qld.gov.au,9
sardegna.it,9
aq,9
com.ph,9
org.sg,9
mobi,8
poznan.pl,8
gp,8
pharmacien.fr,8
mn.us,8
com.na,8
edu.ua,8
gob.ve,8
je,8
nom.fr,8
com.ve,8
net.nz,8
cv,8
com.gt,8
prd.fr,8
org.tr,8
gob.sv,8
gov.my,8
st,8
mt,8
edu.br,8
or.us,8
wroc.pl,8
ny.us,8
com.sg,8
medecin.fr,7
gov.ba,7
gov.bf,7
edu.mk,7
la.us,7
gov.dz,7
alsace,7
co.ao,7
eu.int,7
amazonaws.com,7
name,7
edu.in,7
blogspot.nl,7
gd,7
ne,7
edu.eg,7
toho.fukuoka.jp,7
pe.ca,7
oh.us,7
gov.to,7
blogspot.ro,6
info.ec,6
hirakata.osaka.jp,6
warszawa.pl,6
bz,6
nhs.uk,6
al,6
chambagri.fr,6
jus.br,6
gob.ec,6
ph,6
cloudfront.net,6
blogspot.it,6
takasago.hyogo.jp,6
wmflabs.org,6
gov.it,6
ac.ug,6
shinjo.okayama.jp,6
ogawa.nagano.jp,6
edu.mx,6
gov.sa,6
me.uk,6
gob.ar,6
genova.it,6
notaires.fr,6
otari.nagano.jp,6
ok.us,5
gob.cl,5
gov.ve,5
org.co,5
gouv.ci,5
today,5
res.in,5
lviv.ua,5
gouv.bj,5
org.uy,5
co.id,5
gob.pa,5
higashikawa.hokkaido.jp,5
com.bd,5
co.zw,5
edu.ru,5
sa.gov.au,5
ve,5
gov.mr,5
gov.bd,5
or.ke,5
ac.fj,5
gen.tr,5
ac.mw,5
mw,5
ec,5
gov.rw,5
edu.sg,5
co.ug,5
blogspot.com.br,5
ac.th,5
fl.us,5
ac.id,5
mr,5
art.br,5
va.us,5
tas.gov.au,5
ac.cn,5
gal,5
ak.us,5
com.ng,5
la,5
marche.it,5
takayama.nagano.jp,5
org.lb,5
sh,5
info.ve,4
com.cy,4
gov.lt,4
ab.ca,4
tamano.okayama.jp,4
edu.et,4
org.ge,4
osaka.jp,4
idf.il,4
com.bo,4
gov.pg,4
gov.ps,4
homeoffice.gov.uk,4
or.cr,4
bergamo.it,4
dyndns.org,4
sport.hu,4
leg.br,4
bj,4
ishikawa.jp,4
au,4
parliament.nz,4
mil.co,4
gov.ws,4
solutions,4
gov.gr,4
com.fj,4
roma.it,4
art.museum,4
szczecin.pl,4
city.nagoya.jp,4
milano.it,4
ca.us,4
tg,4
tj,4
ml,4
sm,4
xyz,4
wy.us,4
lib.ne.us,4
com.pa,4
gov.mg,4
gov.ec,4
trieste.it,4
blogspot.se,4
org.mt,4
wi.us,4
blogspot.co.at,4
torino.it,4
live,4
org.tn,4
ng,4
siena.it,4
edu.kh,4
gov.ae,4
re.it,4
cr,4
com.sa,4
org.pk,4
com.kh,4
ht,4
pro.br,4
edu.ph,4
edu.ng,4
ra.it,3
ns.ca,3
bologna.it,3
net.co,3
gm,3
рф,3
police.uk,3
edu.gy,3
k12.ar.us,3
hiroshima.jp,3
googlecode.com,3
gov.lb,3
lib.tx.us,3
edu.dz,3
gov.lc,3
org.sz,3
blogspot.pe,3
rns.tn,3
gob.bo,3
qa,3
go.tz,3
uk.net,3
parma.it,3
ps,3
re.kr,3
okawa.kochi.jp,3
toscana.it,3
corsica,3
aoki.nagano.jp,3
wroclaw.pl,3
kg,3
nz,3
edu.ee,3
waw.pl,3
port.fr,3
mz,3
gov.vn,3
hokkaido.jp,3
gov.pt,3
nb.ca,3
co.zm,3
org.my,3
news,3
k12.pa.us,3
pictet,3
org.tw,3
co.rs,3
ac.cy,3
bnpparibas,3
org.py,3
in.ua,3
no.it,3
uk.com,3
gov.dm,3
blogspot.co.il,3
ao,3
bo,3
nf.ca,3
githubusercontent.com,3
org.ph,3
msk.ru,3
edu.jm,3
pub,3
matsumoto.nagano.jp,3
cg,3
edu.sa,3
zone,3
media,3
vg,3
ac.cr,3
edu.jo,2
iki.fi,2
ms,2
net.ua,2
mil.ru,2
nd.us,2
ac.ke,2
my,2
otaki.nagano.jp,2
misasa.tottori.jp,2
gov.mn,2
nakatsugawa.gifu.jp,2
km,2
kr,2
whoswho,2
mil.ve,2
org.bh,2
okayama.jp,2
co.tz,2
edu.mt,2
yolasite.com,2
k12.il,2
sk.ca,2
ls,2
kumamoto.jp,2
or.id,2
piemonte.it,2
wa.edu.au,2
edu.uy,2
az.us,2
ed.jp,2
bg.it,2
agulha.nom.br,2
gov.gh,2
shinjuku.tokyo.jp,2
prato.it,2
tn.it,2
c.la,2
pr,2
bel.tr,2
napoli.it,2
arts.ro,2
gov.bo,2
kyoto.jp,2
cx,2
cf,2
gov.cl,2
so.it,2
verona.it,2
m.se,2
gov.ge,2
experts-comptables.fr,2
lib.de.us,2
bari.it,2
ru.net,2
emilia-romagna.it,2
or.th,2
cn.it,2
nv.us,2
nr,2
com.gr,2
sy,2
com.gh,2
gov.ki,2
en.it,2
nl.ca,2
gov.zm,2
brescia.it,2
review,2
blog,2
com.sv,2
il.us,2
gouv.ht,2
wa.us,2
tf,2
alessandria.it,2
k12.ca.us,2
ac.ru,2
post,2
yk.ca,2
net.kw,2
of.by,2
nemuro.hokkaido.jp,2
edu.rs,2
ojiya.niigata.jp,2
gov.al,2
ba.it,2
biei.hokkaido.jp,2
com.py,2
com.pt,2
k12.dc.us,2
wakasa.tottori.jp,2
ac.zw,2
lombardia.it,2
vic.edu.au,2
palermo.it,2
chat,2
blogspot.hu,2
