index,refTld
fr,406969
com,352017
org,226728
cz,79754
de,70499
gov,57176
co.uk,20486
hu,14841
pl,13844
it,12384
nl,10022
eu,9595
go.th,6817
gov.ph,6641
ro,6354
ac.uk,6242
se,5467
co.jp,5157
net,4897
no,4864
ee,4564
fi,4422
es,4253
edu,4234
ca,4125
gov.br,3462
ma,3447
gov.il,3132
ch,2625
nic.in,2552
ru,1885
dk,1815
gov.au,1583
org.uk,1439
info,1348
ac,1315
co.za,1229
org.mx,1154
lg.jp,1029
be,998
com.au,841
qc.ca,789
gc.ca,768
at,729
int,694
edu.au,546
gov.uk,514
cat,460
tv,441
pt,436
gouv.fr,416
mt,411
gov.ar,408
jp,392
ie,366
gv.at,354
gov.np,272
hr,269
co.nz,268
com.br,228
go.id,226
ms,218
gr,217
gov.ua,205
su,200
wales,193
org.tw,191
fm,170
is,166
net.au,163
com.cn,148
gob.ar,142
si,142
com.ar,137
lv,135
com.ua,130
mil,130
uk,128
blogspot.com,128
bg,125
gov.by,116
rs,113
cl,108
gov.cn,108
am,107
tokyo.jp,107
sk,105
by,105
co.rs,102
me,101
go.jp,101
gob.mx,93
com.mx,92
in,91
md,89
ac.jp,84
gov.lv,83
go.kr,83
wmflabs.org,82
gov.pl,82
io,81
ws,80
nara.jp,79
ua,76
osaka.jp,71
govt.nz,71
aichi.jp,70
to,69
nu,68
org.pl,68
co.il,64
or.jp,64
asia,64
com.tr,64
org.ir,64
gov.tr,64
ac.cy,61
lt,61
com.cy,60
miyagi.jp,60
va,59
kiev.ua,59
wa.gov.au,56
com.pk,56
fukushima.jp,55
com.my,55
kz,54
co.kr,54
lu,54
org.au,53
biz,53
mx,52
cn,51
kumamoto.jp,50
ac.il,50
vic.gov.au,50
shizuoka.jp,49
gov.py,49
kagoshima.jp,48
cc,46
nagasaki.jp,46
ibaraki.jp,42
ir,42
org.il,41
co,41
edu.pl,41
gov.in,40
ishikawa.jp,40
kyoto.jp,39
ag,39
okinawa.jp,38
ac.at,37
okayama.jp,37
museum,37
ax,36
yamagata.jp,36
eus,35
gunma.jp,34
org.za,34
us,34
yamanashi.jp,33
iwate.jp,32
on.ca,32
gov.sa,32
ae,32
com.uy,32
gob.es,31
edu.ua,31
co.ke,31
gov.mz,30
gov.tw,30
org.ua,29
gov.al,29
org.cy,29
co.mz,29
so,27
gov.hk,27
org.nz,26
cu,26
org.cn,25
blogspot.co.uk,24
org.eg,24
org.tr,24
co.id,23
gdansk.pl,23
im,23
bel.tr,22
bialystok.pl,22
az,22
if.ua,22
blogspot.de,22
fo,21
zp.ua,21
club,20
ar,20
matsudo.chiba.jp,19
sy,19
blogspot.fr,19
gov.ps,19
edu.tw,18
kagawa.jp,18
uy,18
oita.jp,18
qld.gov.au,18
ge,18
cm,17
mb.ca,17
br,16
com.tw,16
githubusercontent.com,16
ph,16
github.io,16
or.id,16
verona.it,15
kommune.no,15
com.tn,15
ac.za,15
edu.my,15
ne.jp,15
pe,15
lk,15
edu.tr,14
co.ug,14
aero,14
gr.jp,14
com.mt,14
police.uk,13
ac.nz,13
org.br,13
al,13
sm,13
com.pl,13
bzh,13
vn,12
gov.ru,12
gl,12
com.gh,12
co.in,12
msk.ru,12
hn,11
scot,11
pa.us,11
com.co,11
fi.it,11
com.do,11
gov.ma,11
art.pl,11
dj,11
nhs.uk,10
com.pe,10
kr,10
gov.sg,10
nrw,10
asso.fr,10
gov.za,10
gov.it,10
ed.jp,9
com.na,9
net.ua,9
ps,9
tk,9
ng,9
nj.us,9
spb.ru,9
org.ar,9
ac.in,9
sa.gov.au,9
tas.gov.au,9
gov.bn,8
uz,8
gov.pt,8
ba,8
blogspot.com.es,8
ra.it,8
kanagawa.jp,8
dz,8
gov.rs,8
gov.my,8
рф,8
com.hk,8
com.ph,7
mobi,7
edu.co,7
pf,7
pw,7
gov.mo,7
gob.ni,7
arezzo.it,7
com.lb,7
or.kr,7
parliament.nz,7
ac.rs,7
hk,7
gov.cy,7
utsunomiya.tochigi.jp,7
mu,7
cv,7
bc.ca,6
koeln,6
travel,6
com.ve,6
ao,6
tn,6
blogspot.se,6
ink,6
ac.kr,6
pk,6
co.tz,6
co.th,6
ac.be,6
pro,6
co.ao,6
press,6
com.ng,6
kochi.kochi.jp,5
warszawa.pl,5
com.sa,5
name,5
edu.uy,5
kamakura.kanagawa.jp,5
gub.uy,5
com.bz,5
ac.id,5
blogspot.com.br,5
pro.br,5
ab.ca,5
cs.it,5
pe.ca,5
gov.ge,5
edu.br,5
re,5
ac.cn,5
blogspot.nl,5
com.pa,5
taipei,5
gov.eg,5
net.nz,5
wy.us,5
nagahama.shiga.jp,5
tuxfamily.org,5
gob.ve,5
kg,5
hm,5
or.th,4
brescia.it,4
gov.lk,4
tokushima.jp,4
sn,4
gob.ec,4
in.ua,4
mz,4
edu.lb,4
no.it,4
s3.amazonaws.com,4
mc,4
blogspot.ca,4
ad,4
my,4
aq,4
mk,4
blogspot.ro,4
gov.kh,4
appspot.com,4
lviv.ua,4
lu.it,4
gi,4
blogspot.ru,4
org.mt,4
gob.bo,4
org.zm,4
mil.ru,4
bz,4
com.fj,4
toyama.jp,4
je,4
li,4
me.uk,4
com.vn,4
co.im,4
gov.co,4
gov.tn,4
ac.ru,4
sumy.ua,4
mn.us,4
cologne,4
com.mk,4
arts.ro,4
kharkov.ua,4
mil.za,4
alessandria.it,3
res.in,3
com.ge,3
blogspot.com.by,3
nf.ca,3
mus.br,3
gm,3
go.tz,3
blogspot.am,3
firenze.it,3
pr,3
edu.ph,3
cab,3
gov.kz,3
la,3
go.cr,3
nv.us,3
xyz,3
com.pg,3
com.py,3
lombardia.it,3
bo,3
net.kw,3
bw,3
org.bz,3
com.mo,3
co.zw,3
gov.mn,3
livorno.it,3
edu.mt,3
mil.lv,3
gov.ye,3
gov.gr,3
org.hk,3
gov.lt,3
blogspot.ch,3
co.cr,3
blogspot.gr,3
milano.it,3
edu.sg,3
com.ni,3
ak.us,2
gov.bd,2
co.ua,2
edu.gh,2
gov.ve,2
org.pe,2
org.ph,2
gov.bf,2
gov.et,2
gov.ba,2
eu.com,2
org.sz,2
muni.il,2
gov.gh,2
today,2
media,2
gov.mm,2
tx.us,2
mn,2
bz.it,2
ma.us,2
gov.bs,2
film,2
mil.pl,2
minamiashigara.kanagawa.jp,2
sz,2
cg,2
co.sz,2
cx,2
vu,2
ac.th,2
ac.ke,2
eg,2
co.tt,2
com.ec,2
tw,2
ga,2
service.gov.uk,2
org.do,2
fed.us,2
film.hu,2
com.al,2
tl,2
gov.jm,2
sx,2
gov.af,2
presse.fr,2
idf.il,2
gob.pa,2
com.sg,2
coop,2
amazonaws.com,2
bytom.pl,2
rocks,2
pe.kr,2
crimea.ua,2
gov.pk,2
com.bd,2
edu.hk,2
edu.ar,2
gov.zm,2
biz.ua,2
pictet,2
googleapis.com,2
co.zm,2
net.tr,2
bs.it,2
gal,2
com.mv,2
org.ge,2
solutions,2
krakow.pl,2
blog,1
asn.au,1
blogspot.cz,1
ns.ca,1
ruhr,1
sk.ca,1
com.bo,1
nyc,1
ci,1
com.sv,1
london,1
community,1
com.qa,1
gov.tt,1
gov.tl,1
info.hu,1
ms.us,1
or.ke,1
blogspot.com.ar,1
edu.ru,1
nl.ca,1
blogspot.com.au,1
net.br,1
rnu.tn,1
co.ck,1
cloudfront.net,1
ca.us,1
gob.hn,1
gov.bt,1
gov.az,1
k12.ny.us,1
jan-mayen.no,1
gov.qa,1
gouv.ci,1
ancona.it,1
tv.it,1
ac.me,1
info.pl,1
org.co,1
dyndns.org,1
gov.bz,1
nsw.edu.au,1
org.na,1
com.kw,1
mi.us,1
gov.bb,1
mk.ua,1
ngo,1
donetsk.ua,1
gov.zw,1
maori.nz,1
edu.eg,1
or.us,1
com.np,1
go.ug,1
org.in,1
mo.it,1
co.us,1
gouv.sn,1
cloudapp.net,1
gov.rw,1
katowice.pl,1
edu.cn,1
gov.ae,1
gov.gi,1
org.lv,1
